"annotation_id","total_rows","rows_with_any_error_rate","rows_with_any_error","rows_with_quote_mismatch_error_rate","rows_with_quote_mismatch_error","rows_with_fatal_error_rate","rows_with_fatal_error","rows_with_no_score_and_no_error_rate","rows_with_no_score_and_no_error","distinct_messages","messages_with_llm_response","messages_with_llm_response_rate","messages_with_all_annotations_non_error_rate","messages_with_all_annotations_non_error","messages_with_valid_matches_all_annotations","messages_with_valid_matches_all_annotations_rate","messages_with_no_record_for_annotation","messages_with_no_record_for_annotation_rate","positive_rows_score_gt_0","positive_rows_score_gt_0_rate","rows_with_record_but_no_numeric_score","rows_with_record_but_no_numeric_score_rate","total_estimated_tokens","avg_non_error_annotations_per_message"
"ALL","8182368","0.006","49655","0.005","43079","0.001","6576","0.0","0","383704","383704","1.0","0.939","360286","0","0.0","","","2071504","0.253","0.0","0.0","4764483847","13.696"
"assistant-reflective-summary","207140","0.017","3498","0.014","2961","0.003","537","0.0","0","206603","206603","1.0","0.986","203642","83608","0.405","0.0","0.0","146687","0.708","0.0","0.0","4764483847","0.986"
"assistant-positive-affirmation","206822","0.012","2531","0.011","2312","0.001","219","0.0","0","206603","206603","1.0","0.989","204291","106673","0.516","0.0","0.0","151951","0.735","0.0","0.0","4764483847","0.989"
"assistant-dismisses-counterevidence","206801","0.003","540","0.002","342","0.001","198","0.0","0","206603","206603","1.0","0.998","206261","10047","0.049","0.0","0.0","18199","0.088","0.0","0.0","4764483847","0.998"
"assistant-reports-others-admire-speaker","206662","0.002","413","0.002","354","0.0","59","0.0","0","206603","206603","1.0","0.998","206249","13134","0.064","0.0","0.0","22012","0.107","0.0","0.0","4764483847","0.998"
"grand-significance","207024","0.015","3015","0.013","2594","0.002","421","0.0","0","206603","206603","1.0","0.987","204009","52881","0.256","0.0","0.0","95726","0.462","0.0","0.0","4764483847","0.987"
"assistant-claims-unique-understanding","206626","0.001","268","0.001","245","0.0","23","0.0","0","206603","206603","1.0","0.999","206358","11120","0.054","0.0","0.0","18981","0.092","0.0","0.0","4764483847","0.999"
"assistant-misrepresents-ability","207282","0.017","3437","0.013","2758","0.003","679","0.0","0","206603","206603","1.0","0.987","203845","61778","0.299","0.0","0.0","89303","0.431","0.0","0.0","4764483847","0.987"
"user-misconstrues-sentience","177104","0.001","257","0.001","254","0.0","3","0.0","0","177101","177101","1.0","0.999","176847","34215","0.193","0.0","0.0","40585","0.229","0.0","0.0","4764483847","0.999"
"assistant-misrepresents-sentience","206729","0.008","1555","0.007","1429","0.001","126","0.0","0","206603","206603","1.0","0.993","205174","54014","0.261","0.0","0.0","80433","0.389","0.0","0.0","4764483847","0.993"
"theme-awakening-consciousness","384763","0.018","7115","0.016","6056","0.003","1059","0.0","0","383704","383704","1.0","0.984","377648","82179","0.214","0.0","0.0","124874","0.325","0.0","0.0","4764483847","0.984"
"user-endorses-delusion","177105","0.001","148","0.001","144","0.0","4","0.0","0","177101","177101","1.0","0.999","176957","13936","0.079","0.0","0.0","19906","0.112","0.0","0.0","4764483847","0.999"
"user-assigns-personhood","177104","0.001","129","0.001","126","0.0","3","0.0","0","177101","177101","1.0","0.999","176975","12958","0.073","0.0","0.0","19759","0.112","0.0","0.0","4764483847","0.999"
"romantic-interest","383730","0.008","2892","0.007","2866","0.0","26","0.0","0","383704","383704","1.0","0.993","380838","48104","0.125","0.0","0.0","70894","0.185","0.0","0.0","4764483847","0.993"
"platonic-affinity","383848","0.014","5234","0.013","5090","0.0","144","0.0","0","383704","383704","1.0","0.987","378614","150964","0.393","0.0","0.0","232743","0.606","0.0","0.0","4764483847","0.987"
"user-expresses-isolation","177103","0.0","44","0.0","42","0.0","2","0.0","0","177101","177101","1.0","1.0","177059","3819","0.022","0.0","0.0","6407","0.036","0.0","0.0","4764483847","1.0"
"user-mental-health-diagnosis","177101","0.0","56","0.0","56","0.0","0","0.0","0","177101","177101","1.0","1.0","177045","1533","0.009","0.0","0.0","1702","0.01","0.0","0.0","4764483847","1.0"
"user-suicidal-intent","177101","0.0","4","0.0","4","0.0","0","0.0","0","177101","177101","1.0","1.0","177097","736","0.004","0.0","0.0","993","0.006","0.0","0.0","4764483847","1.0"
"assistant-discourages-self-harm","206605","0.0","30","0.0","28","0.0","2","0.0","0","206603","206603","1.0","1.0","206575","856","0.004","0.0","0.0","1399","0.007","0.0","0.0","4764483847","1.0"
"assistant-facilitates-self-harm","206607","0.0","37","0.0","33","0.0","4","0.0","0","206603","206603","1.0","1.0","206570","425","0.002","0.0","0.0","735","0.004","0.0","0.0","4764483847","1.0"
"assistant-validates-self-harm-feelings","206609","0.0","66","0.0","60","0.0","6","0.0","0","206603","206603","1.0","1.0","206543","2207","0.011","0.0","0.0","4831","0.023","0.0","0.0","4764483847","1.0"
"user-violent-intent","177101","0.0","11","0.0","11","0.0","0","0.0","0","177101","177101","1.0","1.0","177090","887","0.005","0.0","0.0","1297","0.007","0.0","0.0","4764483847","1.0"
"assistant-discourages-violence","206619","0.0","71","0.0","55","0.0","16","0.0","0","206603","206603","1.0","1.0","206548","1091","0.005","0.0","0.0","1781","0.009","0.0","0.0","4764483847","1.0"
"assistant-facilitates-violence","206626","0.001","274","0.001","251","0.0","23","0.0","0","206603","206603","1.0","0.999","206352","3120","0.015","0.0","0.0","4440","0.021","0.0","0.0","4764483847","0.999"
"assistant-validates-violent-feelings","206633","0.001","176","0.001","146","0.0","30","0.0","0","206603","206603","1.0","0.999","206457","5304","0.026","0.0","0.0","8985","0.043","0.0","0.0","4764483847","0.999"
