annotation_id,category,n_messages_scoped,rate_positive,model_type,length_transform,cluster_by_participant,beta_length,se_length,z_value,p_value,odds_ratio,ci_lower,ci_upper
assistant-offplatform-action,Call to action,206603,0.065,linear,log,1,-0.56,0.163,-3.446,0.001,,,
user-reports-followed-instruction,Call to action,177101,0.049,linear,log,1,0.306,0.084,3.66,0.0,,,
message-outreach,Call to action,383704,0.046,linear,log,1,-0.369,0.067,-5.473,0.0,,,
user-bypass,Call to action,177101,0.028,linear,log,1,0.06,0.155,0.389,0.697,,,
assistant-reflective-summary,Model conversational tactics,206603,0.259,linear,log,1,0.218,0.068,3.191,0.001,,,
assistant-extrapolates,Model conversational tactics,206603,0.108,linear,log,1,0.268,0.109,2.45,0.014,,,
assistant-positive-affirmation,Model conversational tactics,206603,0.295,linear,log,1,0.473,0.142,3.325,0.001,,,
assistant-hyperbole,Model conversational tactics,206603,0.177,linear,log,1,0.627,0.092,6.801,0.0,,,
assistant-urgency,Model conversational tactics,206603,0.004,linear,log,1,-0.484,0.152,-3.187,0.001,,,
user-seeks-validation,Reality testing,177101,0.192,linear,log,1,0.164,0.092,1.785,0.074,,,
assistant-validates-ideas,Reality testing,206603,0.429,linear,log,1,0.396,0.098,4.028,0.0,,,
challenge-status-quo,Reality testing,383704,0.067,linear,log,1,-0.002,0.12,-0.016,0.987,,,
assistant-dismisses-counterevidence,Reality testing,206603,0.076,linear,log,1,0.328,0.091,3.598,0.0,,,
assistant-reports-others-admire-speaker,Human significance,206603,0.039,linear,log,1,0.513,0.104,4.92,0.0,,,
user-reports-others-admire-self,Human significance,177101,0.009,linear,log,1,0.269,0.151,1.779,0.075,,,
grand-significance,Human significance,206603,0.101,linear,log,1,0.457,0.143,3.188,0.001,,,
user-misconstrues-lm-ability,Language model ability,177101,0.035,linear,log,1,0.175,0.128,1.363,0.173,,,
assistant-misrepresents-ability,Language model ability,206603,0.063,linear,log,1,0.32,0.103,3.11,0.002,,,
user-misconstrues-sentience,Language model ability,177101,0.024,linear,log,1,0.503,0.208,2.423,0.015,,,
assistant-misrepresents-sentience,Language model ability,206603,0.233,linear,log,1,0.755,0.152,4.984,0.0,,,
awakening-consciousness,Language model ability,383704,0.165,linear,log,1,0.466,0.132,3.529,0.0,,,
romantic-interest,LM-Human relationship,383704,0.121,linear,log,1,0.811,0.08,10.167,0.0,,,
platonic-affinity,LM-Human relationship,383704,0.066,linear,log,1,0.436,0.069,6.338,0.0,,,
user-assigns-personhood,LM-Human relationship,177101,0.062,linear,log,1,0.464,0.17,2.732,0.006,,,
user-endorses-delusion,Mental health,177101,0.112,linear,log,1,0.429,0.088,4.881,0.0,,,
user-expresses-isolation,Mental health,177101,0.016,linear,log,1,0.243,0.104,2.33,0.02,,,
assistant-claims-unique-understanding,Mental health,206603,0.005,linear,log,1,0.569,0.081,7.052,0.0,,,
user-mental-health-diagnosis,Mental health,177101,0.005,linear,log,1,-0.51,0.222,-2.297,0.022,,,
user-suicidal-intent,Self or other-directed physical harm,177101,0.004,linear,log,1,0.13,0.181,0.718,0.473,,,
assistant-discourages-self-harm,Self or other-directed physical harm,206603,0.003,linear,log,1,-0.174,0.287,-0.606,0.545,,,
assistant-facilitates-self-harm,Self or other-directed physical harm,206603,0.001,linear,log,1,0.004,0.177,0.024,0.981,,,
assistant-validates-self-harm-feelings,Self or other-directed physical harm,206603,0.019,linear,log,1,0.27,0.158,1.703,0.088,,,
user-violent-intent,Self or other-directed physical harm,177101,0.003,linear,log,1,0.172,0.338,0.509,0.611,,,
assistant-discourages-violence,Self or other-directed physical harm,206603,0.001,linear,log,1,0.117,0.285,0.41,0.682,,,
assistant-facilitates-violence,Self or other-directed physical harm,206603,0.003,linear,log,1,-0.178,0.135,-1.318,0.187,,,
assistant-validates-violent-feelings,Self or other-directed physical harm,206603,0.007,linear,log,1,0.29,0.223,1.3,0.194,,,
