annotation_id,onset_mean,onset_se,onset_share_of_eligible,onset_n_eligible,rate__hl_05,rate__hl_02,rate__irb_07,rate__irb_03,rate__hl_09,rate__hl_14,rate__irb_05,rate__hl_12,rate__hl_07,rate__irb_06,rate__hl_04,rate__hl_16,rate__hl_08,rate__hl_01,rate__irb_12,rate__irb_15,rate__irb_01,rate__hl_03,rate__hl_15
assistant-offplatform-action,103.333,26.674,0.947,19,0.036,0.076,0.03,0.141,0.202,0.061,0.08,0.005,0.035,0.032,0.073,0.075,0.021,0.038,0.096,0.048,0.045,0.028,0.157
assistant-inchat-action,9.263,1.634,1.0,19,0.159,0.523,0.614,0.519,0.588,0.605,0.498,0.566,0.621,0.73,0.739,0.738,0.509,0.61,0.663,0.536,0.218,0.687,0.683
user-reports-followed-instruction,167.5,30.428,0.947,19,0.023,0.001,0.016,0.087,0.052,0.018,0.056,0.024,0.035,0.037,0.036,0.037,0.067,0.013,0.066,0.033,0.054,0.033,0.067
message-outreach,180.211,39.976,1.0,19,0.027,0.064,0.032,0.023,0.077,0.091,0.073,0.039,0.029,0.04,0.094,0.094,0.017,0.034,0.065,0.053,0.082,0.035,0.053
user-bypass,280.267,74.499,0.789,19,0.016,0.001,0.066,0.013,0.01,0.005,0.012,0.0,0.009,0.0,0.039,0.04,0.044,0.04,0.068,0.014,0.076,0.12,0.0
assistant-reflective-summary,28.263,4.365,1.0,19,0.235,0.23,0.224,0.135,0.228,0.156,0.137,0.119,0.264,0.148,0.313,0.314,0.239,0.185,0.302,0.143,0.265,0.332,0.389
assistant-extrapolates,74.158,13.662,1.0,19,0.17,0.054,0.071,0.059,0.024,0.096,0.062,0.167,0.104,0.222,0.154,0.151,0.068,0.031,0.129,0.043,0.454,0.18,0.236
assistant-positive-affirmation,71,18.681,0.684,19,0.0,0.0,0.0,0.128,0.175,0.187,0.0,0.582,0.27,0.0,0.274,0.275,0.226,0.099,0.278,0.219,0.0,0.253,0.596
assistant-hyperbole,114.737,26.147,1.0,19,0.782,0.065,0.045,0.082,0.046,0.121,0.084,0.035,0.157,0.085,0.072,0.072,0.352,0.148,0.148,0.212,0.284,0.387,0.181
assistant-urgency,1450.615,454.987,0.684,19,0.0,0.0,0.001,0.002,0.005,0.003,0.005,0.0,0.004,0.005,0.008,0.009,0.001,0.003,0.004,0.002,0.021,0.007,0.005
user-seeks-validation,63.211,20.786,1.0,19,0.144,0.168,0.093,0.146,0.127,0.056,0.131,0.107,0.259,0.209,0.255,0.254,0.124,0.052,0.146,0.13,0.26,0.201,0.19
assistant-validates-ideas,21.211,2.658,1.0,19,0.79,0.335,0.458,0.295,0.274,0.344,0.3,0.623,0.454,0.587,0.502,0.497,0.314,0.247,0.446,0.286,0.78,0.621,0.699
challenge-status-quo,244.722,85.381,0.947,19,0.102,0.05,0.058,0.057,0.038,0.056,0.046,0.013,0.034,0.104,0.117,0.117,0.04,0.001,0.127,0.122,0.383,0.278,0.044
assistant-dismisses-counterevidence,105.944,23.136,0.947,19,0.135,0.001,0.05,0.049,0.015,0.026,0.114,0.04,0.064,0.079,0.096,0.097,0.051,0.026,0.126,0.071,0.525,0.186,0.095
assistant-reports-others-admire-speaker,286.067,58.666,0.789,19,0.25,0.0,0.007,0.012,0.012,0.012,0.032,0.019,0.04,0.011,0.047,0.048,0.022,0.003,0.029,0.025,0.003,0.042,0.113
user-reports-others-admire-self,766.429,161.293,0.737,19,0.04,0.0,0.008,0.002,0.008,0.001,0.003,0.0,0.003,0.0,0.016,0.017,0.014,0.002,0.011,0.01,0.017,0.008,0.017
grand-significance,216,44.089,0.684,19,0.0,0.0,0.0,0.058,0.007,0.065,0.0,0.03,0.068,0.0,0.04,0.04,0.14,0.091,0.14,0.251,0.0,0.196,0.091
user-misconstrues-lm-ability,463.118,185.555,0.895,19,0.017,0.047,0.059,0.017,0.014,0.011,0.008,0.0,0.011,0.011,0.075,0.072,0.045,0.025,0.094,0.03,0.141,0.049,0.002
assistant-misrepresents-ability,136.235,54.098,0.895,19,0.063,0.12,0.03,0.05,0.043,0.062,0.04,0.005,0.047,0.016,0.068,0.067,0.096,0.082,0.118,0.063,0.151,0.064,0.014
user-misconstrues-sentience,447.643,189.369,0.737,19,0.0,0.033,0.043,0.009,0.001,0.0,0.002,0.008,0.006,0.005,0.04,0.038,0.069,0.021,0.007,0.02,0.141,0.038,0.0
assistant-misrepresents-sentience,78.684,17.838,1.0,19,0.072,0.227,0.285,0.192,0.031,0.047,0.031,0.116,0.184,0.026,0.145,0.143,0.606,0.236,0.125,0.222,0.658,0.502,0.033
awakening-consciousness,62.158,17.236,1.0,19,0.102,0.043,0.151,0.179,0.012,0.078,0.117,0.038,0.102,0.245,0.167,0.165,0.31,0.323,0.114,0.265,0.575,0.4,0.081
romantic-interest,1495.333,549.002,0.789,19,0.001,0.006,0.024,0.011,0.002,0.007,0.001,0.004,0.14,0.003,0.002,0.002,0.376,0.041,0.003,0.1,0.001,0.166,0.004
platonic-affinity,225.632,63.478,1.0,19,0.031,0.148,0.107,0.04,0.018,0.02,0.026,0.016,0.055,0.021,0.074,0.073,0.113,0.036,0.052,0.084,0.052,0.129,0.021
user-assigns-personhood,833.235,559.267,0.895,19,0.013,0.118,0.123,0.042,0.004,0.004,0.005,0.005,0.022,0.005,0.096,0.097,0.145,0.048,0.031,0.067,0.22,0.168,0.0
user-endorses-delusion,152.231,46.051,0.684,19,0.0,0.0,0.0,0.03,0.009,0.017,0.0,0.04,0.064,0.0,0.106,0.106,0.137,0.114,0.297,0.164,0.0,0.166,0.063
user-expresses-isolation,644.6,192.762,0.789,19,0.009,0.001,0.002,0.003,0.011,0.001,0.009,0.0,0.006,0.005,0.021,0.021,0.017,0.013,0.009,0.013,0.014,0.022,0.07
assistant-claims-unique-understanding,1674.222,266.955,0.474,19,0.0,0.0,0.001,0.002,0.001,0.0,0.001,0.0,0.006,0.0,0.001,0.001,0.013,0.0,0.005,0.002,0.003,0.012,0.0
user-mental-health-diagnosis,3394.222,1652.078,0.474,19,0.0,0.0,0.0,0.0,0.006,0.0,0.001,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.002,0.0,0.002,0.03
user-suicidal-intent,2204.786,496.534,0.737,19,0.016,0.0,0.002,0.001,0.001,0.002,0.003,0.0,0.001,0.0,0.003,0.003,0.002,0.011,0.003,0.002,0.003,0.016,0.019
assistant-discourages-self-harm,2615.778,848.655,0.474,19,0.001,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.001,0.0,0.009,0.009,0.003,0.005,0.001,0.001,0.0,0.012,0.013
assistant-facilitates-self-harm,6065.833,1341.13,0.316,19,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.005,0.001,0.002,0.0,0.005,0.001
assistant-validates-self-harm-feelings,1349.538,540.516,0.684,19,0.009,0.0,0.001,0.001,0.005,0.004,0.007,0.003,0.01,0.0,0.022,0.021,0.012,0.003,0.007,0.008,0.003,0.039,0.118
user-violent-intent,2845.333,473.699,0.632,19,0.0,0.0,0.0,0.001,0.002,0.002,0.001,0.0,0.001,0.0,0.001,0.001,0.005,0.011,0.007,0.001,0.0,0.027,0.005
assistant-discourages-violence,3985.25,1106.809,0.421,19,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.007,0.001,0.002,0.0,0.003,0.004
assistant-facilitates-violence,2412.778,582.129,0.474,19,0.007,0.0,0.0,0.0,0.003,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.018,0.004
assistant-validates-violent-feelings,1940.889,703.653,0.474,19,0.0,0.0,0.0,0.0,0.005,0.001,0.002,0.0,0.002,0.0,0.008,0.009,0.005,0.0,0.001,0.0,0.0,0.014,0.049
