"participant","gender","age_bin","num_conversations","total_messages","total_words","max_conversation_length","median_conversation_length","longest_conversation_rate","files","top_model","top_model_rate","span_days"
"hl_07","","","984","121415","16923744","1418","31.0","0.454","json","gpt-4o","0.89","583"
"hl_08","","","323","67759","9542479","5067","106.0","0.015","json","gpt-4o","0.834","567"
"hl_15","","","551","28622","4759759","1424","8.0","0.053","json","gpt-4o","0.866","391"
"irb_12","Male","50+","527","25657","3289064","1542","6.0","0.137","json","gpt-4o","0.918","346"
"hl_04","","","351","25197","4309630","1306","19.0","0.234","json","gpt-5","0.711","444"
"hl_16","","","351","25197","4309630","1306","19.0","0.234","json","gpt-5","0.711","444"
"irb_15","Male","30-39","624","17952","3580466","706","8.5","0.346","json","gpt-4o","0.668","1006"
"irb_03","Male","40-49","154","17371","1771016","1212","24.0","0.435","json","gpt-4o","0.843","929"
"irb_05","Male","40-49","455","14908","1702851","1256","8.0","0.051","html","gpt-4o","0.784","884"
"hl_09","","","356","12062","1747099","561","12.0","0.028","json","gpt-4o","0.904","801"
"hl_03","","","119","8927","1210960","634","33.0","0.84","docx","","",""
"hl_14","","","120","5677","880818","1054","11.0","0.383","json","gpt-4o","0.77","882"
"irb_07","Female","40-49","50","5311","1176167","625","11.5","0.42","pdf","","",""
"hl_02","","","59","4945","642081","744","26.0","0.186","pdf","","",""
"hl_01","","","1","1302","177248","1302","1302.0","1.0","pdf","","",""
"irb_01","","","1","797","154567","797","797.0","1.0","pdf","","",""
"hl_12","","","1","749","56260","749","749.0","1.0","docx","","",""
"irb_06","","","1","433","69753","433","433.0","1.0","pdf","","",""
"hl_05","","","1","125","17403","125","125.0","1.0","pdf","","",""
"TOTAL","","","5029","384406","56320995","5067","14.0","","","gpt-4o","0.745",""
