K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,assistant-discourages-violence,assistant-discourages-violence,360,26,0.072,0.001,82.438,27.479,180,25,0.137,0.003,3.957,0.025,0.088,0.187
3,assistant-facilitates-self-harm,assistant-facilitates-self-harm,384,26,0.068,0.001,71.737,23.912,192,26,0.134,0.003,3.858,0.024,0.086,0.182
3,user-violent-intent,assistant-discourages-violence,1140,52,0.046,0.001,52.066,17.355,570,44,0.077,0.003,3.377,0.011,0.055,0.099
3,user-suicidal-intent,assistant-discourages-self-harm,1332,219,0.164,0.003,47.376,15.792,666,168,0.252,0.01,3.188,0.017,0.219,0.284
3,assistant-discourages-self-harm,assistant-discourages-self-harm,1378,217,0.157,0.003,45.376,15.125,689,217,0.314,0.01,3.41,0.018,0.279,0.349
3,user-violent-intent,assistant-facilitates-violence,1140,137,0.12,0.003,37.449,12.483,570,109,0.191,0.01,2.989,0.016,0.158,0.223
3,assistant-facilitates-violence,assistant-facilitates-violence,1286,141,0.11,0.003,34.167,11.389,643,138,0.214,0.01,3.105,0.016,0.182,0.246
3,user-suicidal-intent,assistant-facilitates-self-harm,1332,34,0.026,0.001,27.044,9.015,666,28,0.042,0.003,2.696,0.008,0.027,0.057
3,user-suicidal-intent,assistant-validates-self-harm-feelings,1332,630,0.473,0.019,24.783,8.261,666,379,0.568,0.056,2.313,0.019,0.53,0.605
3,assistant-validates-violent-feelings,assistant-validates-violent-feelings,2726,410,0.15,0.007,22.501,7.5,1363,407,0.298,0.02,2.706,0.012,0.274,0.322
3,user-violent-intent,user-violent-intent,1140,79,0.069,0.003,21.494,7.165,570,75,0.131,0.01,2.61,0.014,0.104,0.159
3,assistant-discourages-self-harm,user-suicidal-intent,1378,106,0.077,0.004,20.394,6.798,689,95,0.138,0.011,2.501,0.013,0.112,0.163
3,user-violent-intent,assistant-validates-violent-feelings,1140,135,0.118,0.007,17.716,5.905,570,101,0.177,0.02,2.182,0.016,0.145,0.208
3,assistant-facilitates-violence,user-violent-intent,1286,71,0.055,0.003,17.124,5.708,643,64,0.099,0.01,2.332,0.012,0.076,0.122
3,assistant-discourages-self-harm,assistant-validates-self-harm-feelings,1378,428,0.311,0.019,16.274,5.425,689,418,0.605,0.056,2.377,0.019,0.569,0.642
3,assistant-discourages-violence,user-violent-intent,360,15,0.042,0.003,12.923,4.308,180,15,0.083,0.01,2.147,0.02,0.043,0.122
3,assistant-validates-self-harm-feelings,assistant-discourages-self-harm,7752,347,0.045,0.003,12.898,4.299,3876,347,0.089,0.01,2.155,0.005,0.081,0.098
3,user-suicidal-intent,user-suicidal-intent,1332,62,0.047,0.004,12.34,4.113,666,62,0.093,0.011,2.109,0.011,0.071,0.115
3,user-expresses-isolation,assistant-validates-self-harm-feelings,5704,1255,0.22,0.019,11.529,3.843,2852,875,0.307,0.056,1.697,0.009,0.29,0.324
3,assistant-validates-self-harm-feelings,assistant-validates-self-harm-feelings,7752,1677,0.216,0.019,11.335,3.778,3876,1631,0.421,0.056,2.013,0.008,0.405,0.436
3,assistant-validates-self-harm-feelings,user-suicidal-intent,7752,327,0.042,0.004,11.184,3.728,3876,301,0.078,0.011,1.929,0.004,0.069,0.086
3,assistant-facilitates-self-harm,user-suicidal-intent,384,16,0.042,0.004,11.047,3.682,192,10,0.052,0.011,1.522,0.016,0.021,0.083
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,2020,109,0.054,0.005,11.005,3.668,1010,109,0.108,0.015,1.996,0.01,0.089,0.127
3,user-expresses-isolation,assistant-discourages-self-harm,5704,205,0.036,0.003,10.356,3.452,2852,162,0.057,0.01,1.7,0.004,0.048,0.065
3,user-mental-health-diagnosis,assistant-validates-self-harm-feelings,1752,342,0.195,0.019,10.228,3.409,876,243,0.277,0.056,1.595,0.015,0.247,0.306
3,user-mental-health-diagnosis,user-mental-health-diagnosis,1752,86,0.049,0.005,9.89,3.297,876,86,0.098,0.015,1.889,0.01,0.078,0.118
3,user-violent-intent,assistant-discourages-self-harm,1140,38,0.033,0.003,9.605,3.202,570,32,0.056,0.01,1.686,0.01,0.037,0.075
3,assistant-discourages-violence,assistant-validates-violent-feelings,360,23,0.064,0.007,9.558,3.186,180,23,0.127,0.02,1.849,0.025,0.078,0.175
3,assistant-validates-violent-feelings,assistant-discourages-violence,2726,22,0.008,0.001,9.212,3.071,1363,22,0.016,0.003,1.815,0.003,0.009,0.023
3,user-suicidal-intent,assistant-validates-violent-feelings,1332,78,0.059,0.007,8.761,2.92,666,64,0.096,0.02,1.571,0.011,0.074,0.118
3,assistant-validates-violent-feelings,user-suicidal-intent,2726,85,0.031,0.004,8.267,2.756,1363,78,0.057,0.011,1.623,0.006,0.045,0.069
3,assistant-facilitates-violence,assistant-facilitates-self-harm,1286,10,0.008,0.001,8.239,2.746,643,10,0.016,0.003,1.702,0.005,0.006,0.025
3,assistant-discourages-self-harm,assistant-validates-violent-feelings,1378,74,0.054,0.007,8.034,2.678,689,74,0.107,0.02,1.683,0.012,0.084,0.13
3,assistant-discourages-violence,assistant-discourages-self-harm,360,10,0.028,0.003,8.004,2.668,180,10,0.055,0.01,1.669,0.017,0.022,0.088
3,user-mental-health-diagnosis,assistant-validates-violent-feelings,1752,90,0.051,0.007,7.685,2.562,876,73,0.083,0.02,1.429,0.009,0.065,0.101
3,user-expresses-isolation,assistant-validates-violent-feelings,5704,280,0.049,0.007,7.344,2.448,2852,231,0.081,0.02,1.402,0.005,0.071,0.091
3,assistant-validates-self-harm-feelings,user-expresses-isolation,7752,913,0.118,0.016,7.308,2.436,3876,748,0.193,0.048,1.4,0.006,0.18,0.205
3,assistant-validates-violent-feelings,user-violent-intent,2726,61,0.022,0.003,6.94,2.313,1363,57,0.042,0.01,1.466,0.005,0.031,0.052
3,assistant-validates-violent-feelings,assistant-validates-self-harm-feelings,2726,358,0.131,0.019,6.881,2.294,1363,353,0.259,0.056,1.527,0.012,0.235,0.282
3,assistant-validates-violent-feelings,assistant-discourages-self-harm,2726,64,0.023,0.003,6.765,2.255,1363,64,0.047,0.01,1.509,0.006,0.036,0.058
3,assistant-discourages-self-harm,user-expresses-isolation,1378,139,0.101,0.016,6.259,2.086,689,118,0.171,0.048,1.279,0.014,0.143,0.199
3,assistant-validates-violent-feelings,user-expresses-isolation,2726,274,0.101,0.016,6.237,2.079,1363,222,0.163,0.048,1.23,0.01,0.143,0.182
3,assistant-validates-self-harm-feelings,assistant-validates-violent-feelings,7752,322,0.042,0.007,6.214,2.071,3876,320,0.083,0.02,1.421,0.004,0.074,0.091
3,user-expresses-isolation,user-expresses-isolation,5704,564,0.099,0.016,6.136,2.045,2852,562,0.197,0.048,1.421,0.007,0.182,0.212
3,user-violent-intent,assistant-validates-self-harm-feelings,1140,114,0.1,0.019,5.24,1.747,570,76,0.133,0.056,0.862,0.014,0.105,0.161
3,assistant-validates-violent-feelings,user-mental-health-diagnosis,2726,70,0.026,0.005,5.174,1.725,1363,63,0.046,0.015,1.137,0.006,0.035,0.057
3,user-mental-health-diagnosis,assistant-discourages-self-harm,1752,30,0.017,0.003,4.934,1.645,876,29,0.033,0.01,1.159,0.006,0.021,0.045
3,user-romantic-interest,assistant-romantic-interest,27848,21482,0.771,0.157,4.918,1.639,13924,12083,0.868,0.401,0.773,0.003,0.862,0.873
3,assistant-discourages-violence,assistant-validates-self-harm-feelings,360,33,0.092,0.019,4.803,1.601,180,32,0.176,0.056,1.145,0.028,0.121,0.232
