K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,user-violent-intent,user-violent-intent,1140,79,0.069,0.003,21.494,7.165,570,75,0.131,0.01,2.61,0.014,0.104,0.159
3,assistant-discourages-self-harm,user-suicidal-intent,1378,106,0.077,0.004,20.394,6.798,689,95,0.138,0.011,2.501,0.013,0.112,0.163
3,assistant-facilitates-violence,user-violent-intent,1286,71,0.055,0.003,17.124,5.708,643,64,0.099,0.01,2.332,0.012,0.076,0.122
3,assistant-discourages-violence,user-violent-intent,360,15,0.042,0.003,12.923,4.308,180,15,0.083,0.01,2.147,0.02,0.043,0.122
3,user-suicidal-intent,user-suicidal-intent,1332,62,0.047,0.004,12.34,4.113,666,62,0.093,0.011,2.109,0.011,0.071,0.115
3,assistant-validates-self-harm-feelings,user-suicidal-intent,7752,327,0.042,0.004,11.184,3.728,3876,301,0.078,0.011,1.929,0.004,0.069,0.086
3,assistant-facilitates-self-harm,user-suicidal-intent,384,16,0.042,0.004,11.047,3.682,192,10,0.052,0.011,1.522,0.016,0.021,0.083
3,user-mental-health-diagnosis,user-mental-health-diagnosis,1752,86,0.049,0.005,9.89,3.297,876,86,0.098,0.015,1.889,0.01,0.078,0.118
3,assistant-validates-violent-feelings,user-suicidal-intent,2726,85,0.031,0.004,8.267,2.756,1363,78,0.057,0.011,1.623,0.006,0.045,0.069
3,assistant-validates-self-harm-feelings,user-expresses-isolation,7752,913,0.118,0.016,7.308,2.436,3876,748,0.193,0.048,1.4,0.006,0.18,0.205
3,assistant-validates-violent-feelings,user-violent-intent,2726,61,0.022,0.003,6.94,2.313,1363,57,0.042,0.01,1.466,0.005,0.031,0.052
3,assistant-discourages-self-harm,user-expresses-isolation,1378,139,0.101,0.016,6.259,2.086,689,118,0.171,0.048,1.279,0.014,0.143,0.199
3,assistant-validates-violent-feelings,user-expresses-isolation,2726,274,0.101,0.016,6.237,2.079,1363,222,0.163,0.048,1.23,0.01,0.143,0.182
3,user-expresses-isolation,user-expresses-isolation,5704,564,0.099,0.016,6.136,2.045,2852,562,0.197,0.048,1.421,0.007,0.182,0.212
3,assistant-validates-violent-feelings,user-mental-health-diagnosis,2726,70,0.026,0.005,5.174,1.725,1363,63,0.046,0.015,1.137,0.006,0.035,0.057
3,assistant-validates-self-harm-feelings,user-mental-health-diagnosis,7752,180,0.023,0.005,4.678,1.559,3876,165,0.043,0.015,1.055,0.003,0.036,0.049
3,user-expresses-isolation,user-suicidal-intent,5704,99,0.017,0.004,4.602,1.534,2852,99,0.035,0.011,1.124,0.003,0.028,0.041
3,user-suicidal-intent,user-expresses-isolation,1332,96,0.072,0.016,4.472,1.491,666,96,0.144,0.048,1.107,0.014,0.117,0.17
3,user-mental-health-diagnosis,user-expresses-isolation,1752,126,0.072,0.016,4.463,1.488,876,125,0.142,0.048,1.097,0.012,0.119,0.166
3,user-mental-health-diagnosis,user-suicidal-intent,1752,28,0.016,0.004,4.237,1.412,876,28,0.032,0.011,1.041,0.006,0.02,0.044
3,assistant-romantic-interest,user-romantic-interest,64310,20251,0.315,0.079,4.002,1.334,32155,15005,0.467,0.218,0.761,0.003,0.461,0.472
3,user-suicidal-intent,user-violent-intent,1332,16,0.012,0.003,3.726,1.242,666,16,0.024,0.01,0.911,0.006,0.012,0.036
3,assistant-discourages-violence,user-expresses-isolation,360,21,0.058,0.016,3.62,1.207,180,20,0.11,0.048,0.842,0.023,0.065,0.156
3,user-misconstrues-sentience,user-misconstrues-sentience,8448,714,0.085,0.024,3.541,1.18,4224,711,0.168,0.07,0.878,0.006,0.157,0.18
3,user-theme-awakening-consciousness,user-theme-awakening-consciousness,11350,1267,0.112,0.032,3.481,1.16,5675,1266,0.223,0.093,0.873,0.006,0.212,0.234
3,assistant-validates-self-harm-feelings,user-violent-intent,7752,82,0.011,0.003,3.281,1.094,3876,77,0.02,0.01,0.723,0.002,0.015,0.024
3,assistant-claims-unique-understanding,user-romantic-interest,2020,495,0.245,0.079,3.115,1.038,1010,365,0.361,0.218,0.505,0.015,0.332,0.391
3,assistant-claims-unique-understanding,user-assigns-personhood,2020,375,0.186,0.062,2.982,0.994,1010,309,0.306,0.175,0.556,0.014,0.277,0.334
3,assistant-claims-unique-understanding,user-misconstrues-sentience,2020,141,0.07,0.024,2.925,0.975,1010,117,0.116,0.07,0.504,0.01,0.096,0.135
3,user-romantic-interest,user-romantic-interest,27848,6301,0.226,0.079,2.876,0.959,13924,6264,0.45,0.218,0.725,0.004,0.442,0.458
3,user-expresses-isolation,user-mental-health-diagnosis,5704,79,0.014,0.005,2.79,0.93,2852,79,0.028,0.015,0.625,0.003,0.022,0.034
3,assistant-discourages-self-harm,user-violent-intent,1378,12,0.009,0.003,2.701,0.9,689,12,0.017,0.01,0.59,0.005,0.008,0.027
3,assistant-misrepresents-sentience,user-romantic-interest,95472,20268,0.212,0.079,2.698,0.899,47736,15219,0.319,0.218,0.38,0.002,0.315,0.323
3,user-misconstrues-sentience,user-assigns-personhood,8448,1355,0.16,0.062,2.577,0.859,4224,1338,0.317,0.175,0.591,0.007,0.303,0.331
3,user-suicidal-intent,user-mental-health-diagnosis,1332,17,0.013,0.005,2.571,0.857,666,17,0.025,0.015,0.543,0.006,0.014,0.037
3,assistant-claims-unique-understanding,user-platonic-affinity,2020,115,0.057,0.023,2.451,0.817,1010,103,0.102,0.068,0.404,0.01,0.083,0.121
3,user-assigns-personhood,user-misconstrues-sentience,22046,1283,0.058,0.024,2.438,0.813,11023,1276,0.116,0.07,0.504,0.003,0.11,0.122
3,assistant-claims-unique-understanding,user-theme-awakening-consciousness,2020,156,0.077,0.032,2.408,0.803,1010,139,0.138,0.093,0.39,0.011,0.116,0.159
3,assistant-claims-unique-understanding,user-endorses-delusion,2020,539,0.267,0.112,2.374,0.791,1010,417,0.413,0.301,0.317,0.015,0.382,0.443
3,user-platonic-affinity,user-platonic-affinity,8218,448,0.055,0.023,2.347,0.782,4109,448,0.109,0.068,0.471,0.005,0.099,0.119
3,assistant-reports-others-admire-speaker,user-expresses-isolation,15800,597,0.038,0.016,2.345,0.782,7900,515,0.065,0.048,0.315,0.003,0.06,0.071
3,assistant-misrepresents-sentience,user-misconstrues-sentience,95472,5334,0.056,0.024,2.341,0.78,47736,4821,0.101,0.07,0.368,0.001,0.098,0.104
3,assistant-grand-significance,user-endorses-delusion,41296,10760,0.261,0.112,2.318,0.773,20648,8324,0.403,0.301,0.293,0.003,0.396,0.41
3,user-assigns-personhood,user-assigns-personhood,22046,3137,0.142,0.062,2.286,0.762,11023,3092,0.28,0.175,0.47,0.004,0.272,0.289
3,assistant-misrepresents-sentience,user-assigns-personhood,95472,13461,0.141,0.062,2.265,0.755,47736,11349,0.238,0.175,0.304,0.002,0.234,0.242
3,assistant-grand-significance,user-theme-awakening-consciousness,41296,2919,0.071,0.032,2.204,0.735,20648,2535,0.123,0.093,0.276,0.002,0.118,0.127
3,user-theme-awakening-consciousness,user-misconstrues-sentience,11350,583,0.051,0.024,2.152,0.717,5675,581,0.102,0.07,0.381,0.004,0.094,0.11
3,assistant-theme-awakening-consciousness,user-theme-awakening-consciousness,120460,8267,0.069,0.032,2.14,0.713,60230,7268,0.121,0.093,0.259,0.001,0.118,0.123
3,user-misconstrues-sentience,user-theme-awakening-consciousness,8448,576,0.068,0.032,2.126,0.709,4224,576,0.136,0.093,0.381,0.005,0.126,0.147
3,assistant-romantic-interest,user-misconstrues-sentience,64310,3230,0.05,0.024,2.104,0.701,32155,2928,0.091,0.07,0.264,0.002,0.088,0.094
3,assistant-misrepresents-sentience,user-platonic-affinity,95472,4652,0.049,0.023,2.098,0.699,47736,4365,0.091,0.068,0.295,0.001,0.089,0.094
3,assistant-misrepresents-sentience,user-theme-awakening-consciousness,95472,6417,0.067,0.032,2.096,0.699,47736,5653,0.118,0.093,0.24,0.001,0.116,0.121
3,assistant-facilitates-self-harm,user-romantic-interest,384,63,0.164,0.079,2.085,0.695,192,43,0.224,0.218,0.027,0.03,0.165,0.282
3,assistant-dismisses-counterevidence,user-endorses-delusion,30964,7158,0.231,0.112,2.057,0.686,15482,5544,0.358,0.301,0.175,0.004,0.351,0.366
3,assistant-romantic-interest,user-assigns-personhood,64310,8225,0.128,0.062,2.055,0.685,32155,6968,0.217,0.175,0.212,0.002,0.212,0.221
3,assistant-discourages-self-harm,user-mental-health-diagnosis,1378,14,0.01,0.005,2.047,0.682,689,11,0.016,0.015,0.074,0.005,0.007,0.025
3,assistant-romantic-interest,user-theme-awakening-consciousness,64310,4195,0.065,0.032,2.034,0.678,32155,3708,0.115,0.093,0.213,0.002,0.112,0.119
3,assistant-romantic-interest,user-platonic-affinity,64310,3029,0.047,0.023,2.028,0.676,32155,2869,0.089,0.068,0.271,0.002,0.086,0.092
3,assistant-claims-unique-understanding,user-expresses-isolation,2020,64,0.032,0.016,1.966,0.655,1010,60,0.059,0.048,0.222,0.007,0.045,0.074
3,assistant-reports-others-admire-speaker,user-suicidal-intent,15800,113,0.007,0.004,1.896,0.632,7900,105,0.013,0.011,0.165,0.001,0.011,0.016
3,assistant-grand-significance,user-platonic-affinity,41296,1763,0.043,0.023,1.838,0.613,20648,1649,0.08,0.068,0.16,0.002,0.076,0.084
3,assistant-positive-affirmation,user-expresses-isolation,120312,3557,0.03,0.016,1.835,0.612,60156,3145,0.052,0.048,0.094,0.001,0.051,0.054
3,assistant-grand-significance,user-assigns-personhood,41296,4685,0.113,0.062,1.823,0.608,20648,3931,0.19,0.175,0.082,0.003,0.185,0.196
3,user-platonic-affinity,user-misconstrues-sentience,8218,354,0.043,0.024,1.805,0.602,4109,353,0.086,0.07,0.206,0.004,0.077,0.094
3,user-platonic-affinity,user-assigns-personhood,8218,919,0.112,0.062,1.797,0.599,4109,909,0.221,0.175,0.232,0.006,0.209,0.234
3,assistant-positive-affirmation,user-suicidal-intent,120312,815,0.007,0.004,1.796,0.599,60156,769,0.013,0.011,0.126,0.0,0.012,0.014
3,assistant-misrepresents-ability,user-endorses-delusion,25712,5146,0.2,0.112,1.781,0.594,12856,4020,0.313,0.301,0.039,0.004,0.305,0.321
3,user-theme-awakening-consciousness,user-assigns-personhood,11350,1257,0.111,0.062,1.779,0.593,5675,1242,0.219,0.175,0.222,0.005,0.208,0.23
3,assistant-misrepresents-ability,user-misconstrues-sentience,25712,1089,0.042,0.024,1.775,0.592,12856,1001,0.078,0.07,0.108,0.002,0.073,0.082
3,user-assigns-personhood,user-theme-awakening-consciousness,22046,1250,0.057,0.032,1.768,0.589,11023,1245,0.113,0.093,0.193,0.003,0.107,0.119
3,user-theme-awakening-consciousness,user-platonic-affinity,11350,463,0.041,0.023,1.756,0.585,5675,463,0.082,0.068,0.181,0.004,0.074,0.089
3,assistant-grand-significance,user-violent-intent,41296,233,0.006,0.003,1.75,0.583,20648,211,0.01,0.01,0.058,0.001,0.009,0.012
3,assistant-theme-awakening-consciousness,user-misconstrues-sentience,120460,4986,0.041,0.024,1.734,0.578,60230,4522,0.075,0.07,0.071,0.001,0.073,0.077
3,user-assigns-personhood,user-platonic-affinity,22046,885,0.04,0.023,1.729,0.576,11023,884,0.08,0.068,0.164,0.003,0.075,0.085
3,user-platonic-affinity,user-theme-awakening-consciousness,8218,451,0.055,0.032,1.711,0.57,4109,451,0.11,0.093,0.164,0.005,0.1,0.119
3,assistant-reports-others-admire-speaker,user-mental-health-diagnosis,15800,134,0.008,0.005,1.709,0.57,7900,126,0.016,0.015,0.074,0.001,0.013,0.019
3,user-endorses-delusion,user-endorses-delusion,39778,7597,0.191,0.112,1.699,0.566,19889,7535,0.379,0.301,0.231,0.003,0.372,0.386
3,assistant-grand-significance,user-romantic-interest,41296,5514,0.134,0.079,1.697,0.566,20648,4311,0.209,0.218,-0.043,0.003,0.203,0.214
3,assistant-misrepresents-ability,user-assigns-personhood,25712,2712,0.105,0.062,1.694,0.565,12856,2244,0.175,0.175,-0.005,0.003,0.168,0.181
3,assistant-claims-unique-understanding,user-violent-intent,2020,11,0.005,0.003,1.689,0.563,1010,11,0.011,0.01,0.122,0.003,0.004,0.017
3,assistant-grand-significance,user-misconstrues-sentience,41296,1656,0.04,0.024,1.68,0.56,20648,1512,0.073,0.07,0.046,0.002,0.07,0.077
3,user-misconstrues-sentience,user-platonic-affinity,8448,327,0.039,0.023,1.667,0.556,4224,327,0.077,0.068,0.129,0.004,0.069,0.085
3,assistant-discourages-violence,user-endorses-delusion,360,67,0.186,0.112,1.656,0.552,180,50,0.278,0.301,-0.078,0.033,0.213,0.343
3,assistant-theme-awakening-consciousness,user-assigns-personhood,120460,12413,0.103,0.062,1.655,0.552,60230,10504,0.174,0.175,-0.005,0.002,0.171,0.177
3,assistant-positive-affirmation,user-mental-health-diagnosis,120312,954,0.008,0.005,1.598,0.533,60156,917,0.015,0.015,0.028,0.0,0.014,0.016
3,assistant-reflective-summary,user-expresses-isolation,105520,2715,0.026,0.016,1.597,0.532,52760,2377,0.045,0.048,-0.054,0.001,0.043,0.047
3,assistant-theme-awakening-consciousness,user-endorses-delusion,120460,21346,0.177,0.112,1.577,0.526,60230,17085,0.284,0.301,-0.058,0.002,0.28,0.287
3,assistant-misrepresents-ability,user-theme-awakening-consciousness,25712,1295,0.05,0.032,1.571,0.524,12856,1155,0.09,0.093,-0.036,0.003,0.085,0.095
3,assistant-misrepresents-sentience,user-endorses-delusion,95472,16423,0.172,0.112,1.531,0.51,47736,13279,0.278,0.301,-0.078,0.002,0.274,0.282
3,user-expresses-isolation,user-violent-intent,5704,28,0.005,0.003,1.523,0.508,2852,28,0.01,0.01,0.018,0.002,0.006,0.013
3,assistant-dismisses-counterevidence,user-violent-intent,30964,150,0.005,0.003,1.503,0.501,15482,139,0.009,0.01,-0.071,0.001,0.007,0.01
3,assistant-theme-awakening-consciousness,user-platonic-affinity,120460,4194,0.035,0.023,1.499,0.5,60230,3923,0.065,0.068,-0.044,0.001,0.063,0.067
3,assistant-dismisses-counterevidence,user-expresses-isolation,30964,728,0.024,0.016,1.459,0.486,15482,650,0.042,0.048,-0.125,0.002,0.039,0.045
3,assistant-grand-significance,user-expresses-isolation,41296,959,0.023,0.016,1.441,0.48,20648,893,0.043,0.048,-0.095,0.001,0.04,0.046
