K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,messages_with_y,total_scoped_y,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
5,assistant-reflective-summary,assistant-reflective-summary,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,assistant-reflective-summary,assistant-positive-affirmation,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,assistant-reflective-summary,assistant-dismisses-counterevidence,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,assistant-reflective-summary,assistant-reports-others-admire-speaker,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,assistant-reflective-summary,assistant-claims-unique-understanding,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,assistant-reflective-summary,assistant-misrepresents-ability,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,assistant-reflective-summary,user-misconstrues-sentience,105520,4148,0.039,0.024,4227,177101,1.647,0.329,52760,3524,0.067,0.114,-0.533,0.001,0.065,0.069
5,assistant-reflective-summary,assistant-misrepresents-sentience,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,assistant-reflective-summary,user-endorses-delusion,105520,21057,0.2,0.112,19904,177101,1.776,0.355,52760,14321,0.271,0.449,-0.503,0.002,0.268,0.275
5,assistant-reflective-summary,user-assigns-personhood,105520,10618,0.101,0.062,11024,177101,1.617,0.323,52760,8064,0.153,0.275,-0.587,0.002,0.15,0.156
5,assistant-reflective-summary,user-expresses-isolation,105520,3979,0.038,0.016,2854,177101,2.34,0.468,52760,3190,0.06,0.078,-0.255,0.001,0.058,0.062
5,assistant-reflective-summary,user-mental-health-diagnosis,105520,1130,0.011,0.005,879,177101,2.158,0.432,52760,1018,0.019,0.025,-0.242,0.001,0.018,0.02
5,assistant-reflective-summary,user-suicidal-intent,105520,842,0.008,0.004,668,177101,2.116,0.423,52760,763,0.014,0.019,-0.258,0.001,0.013,0.015
