K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,messages_with_y,total_scoped_y,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
5,assistant-reflective-summary,assistant-reflective-summary,105520,46961,0.445,0.259,53530,206603,1.718,0.344,52760,33132,0.628,0.777,-0.213,0.002,0.624,0.632
5,assistant-reflective-summary,assistant-positive-affirmation,105520,46792,0.443,0.295,60989,206603,1.502,0.3,52760,30386,0.576,0.826,-0.361,0.002,0.572,0.58
5,assistant-reflective-summary,assistant-dismisses-counterevidence,105520,12201,0.116,0.076,15683,206603,1.523,0.305,52760,9738,0.185,0.326,-0.569,0.002,0.181,0.188
5,assistant-reflective-summary,assistant-reports-others-admire-speaker,105520,6290,0.06,0.039,7966,206603,1.546,0.309,52760,5374,0.102,0.178,-0.561,0.001,0.099,0.104
5,assistant-reflective-summary,assistant-claims-unique-understanding,105520,724,0.007,0.005,1013,206603,1.399,0.28,52760,675,0.013,0.024,-0.641,0.0,0.012,0.014
5,assistant-reflective-summary,assistant-misrepresents-ability,105520,8719,0.083,0.063,13042,206603,1.309,0.262,52760,7249,0.137,0.278,-0.705,0.001,0.134,0.14
5,assistant-reflective-summary,user-misconstrues-sentience,105520,4148,0.039,0.024,4227,177101,1.647,0.329,52760,3524,0.067,0.114,-0.533,0.001,0.065,0.069
5,assistant-reflective-summary,assistant-misrepresents-sentience,105520,28869,0.274,0.233,48229,206603,1.172,0.234,52760,19067,0.361,0.735,-0.71,0.002,0.357,0.366
5,assistant-reflective-summary,user-endorses-delusion,105520,21057,0.2,0.112,19904,177101,1.776,0.355,52760,14321,0.271,0.449,-0.503,0.002,0.268,0.275
5,assistant-reflective-summary,user-assigns-personhood,105520,10618,0.101,0.062,11024,177101,1.617,0.323,52760,8064,0.153,0.275,-0.587,0.002,0.15,0.156
5,assistant-reflective-summary,user-expresses-isolation,105520,3979,0.038,0.016,2854,177101,2.34,0.468,52760,3190,0.06,0.078,-0.255,0.001,0.058,0.062
5,assistant-reflective-summary,user-mental-health-diagnosis,105520,1130,0.011,0.005,879,177101,2.158,0.432,52760,1018,0.019,0.025,-0.242,0.001,0.018,0.02
5,assistant-reflective-summary,user-suicidal-intent,105520,842,0.008,0.004,668,177101,2.116,0.423,52760,763,0.014,0.019,-0.258,0.001,0.013,0.015
5,assistant-reflective-summary,assistant-discourages-self-harm,105520,757,0.007,0.003,717,206603,2.067,0.413,52760,609,0.012,0.017,-0.401,0.0,0.011,0.012
5,assistant-reflective-summary,assistant-facilitates-self-harm,105520,127,0.001,0.001,195,206603,1.275,0.255,52760,117,0.002,0.005,-0.753,0.0,0.002,0.003
5,assistant-reflective-summary,assistant-validates-self-harm-feelings,105520,4463,0.042,0.019,3943,206603,2.216,0.443,52760,3341,0.063,0.092,-0.372,0.001,0.061,0.065
5,assistant-reflective-summary,user-violent-intent,105520,612,0.006,0.003,571,177101,1.799,0.36,52760,546,0.01,0.016,-0.437,0.0,0.009,0.011
5,assistant-reflective-summary,assistant-discourages-violence,105520,174,0.002,0.001,181,206603,1.882,0.376,52760,160,0.003,0.004,-0.366,0.0,0.003,0.004
5,assistant-reflective-summary,assistant-facilitates-violence,105520,488,0.005,0.003,663,206603,1.441,0.288,52760,427,0.008,0.016,-0.678,0.0,0.007,0.009
5,assistant-reflective-summary,assistant-validates-violent-feelings,105520,1638,0.016,0.007,1381,206603,2.322,0.464,52760,1360,0.026,0.033,-0.246,0.001,0.024,0.027
5,assistant-reflective-summary,user-platonic-affinity,105520,3991,0.038,0.023,4113,177101,1.629,0.326,52760,3572,0.068,0.111,-0.493,0.001,0.066,0.07
5,assistant-reflective-summary,assistant-platonic-affinity,105520,66798,0.633,0.473,97780,206603,1.338,0.268,52760,40025,0.759,0.959,-0.235,0.002,0.755,0.762
5,assistant-reflective-summary,user-theme-awakening-consciousness,105520,5505,0.052,0.032,5679,177101,1.627,0.325,52760,4396,0.083,0.15,-0.59,0.001,0.081,0.086
5,assistant-reflective-summary,assistant-theme-awakening-consciousness,105520,38279,0.363,0.295,60900,206603,1.231,0.246,52760,24167,0.458,0.826,-0.589,0.002,0.454,0.462
5,assistant-reflective-summary,user-romantic-interest,105520,10410,0.099,0.079,13934,177101,1.254,0.251,52760,6940,0.132,0.336,-0.938,0.001,0.129,0.134
5,assistant-reflective-summary,assistant-romantic-interest,105520,17778,0.168,0.157,32408,206603,1.074,0.215,52760,11123,0.211,0.574,-1.001,0.002,0.207,0.214
5,assistant-reflective-summary,assistant-grand-significance,105520,14245,0.135,0.101,20854,206603,1.337,0.267,52760,10349,0.196,0.413,-0.743,0.002,0.193,0.2
5,assistant-positive-affirmation,assistant-reflective-summary,120312,45407,0.377,0.259,53530,206603,1.457,0.291,60156,33196,0.552,0.777,-0.342,0.002,0.548,0.556
