K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
5,assistant-discourages-violence,assistant-discourages-violence,360,42,0.117,0.001,133.17,26.634,180,37,0.203,0.004,3.84,0.03,0.145,0.262
5,assistant-facilitates-self-harm,assistant-facilitates-self-harm,384,38,0.099,0.001,104.847,20.969,192,32,0.165,0.005,3.556,0.027,0.113,0.217
5,assistant-discourages-self-harm,assistant-discourages-self-harm,1378,395,0.287,0.003,82.597,16.519,689,261,0.378,0.017,3.087,0.018,0.342,0.414
5,assistant-facilitates-violence,assistant-facilitates-violence,1286,228,0.177,0.003,55.248,11.05,643,173,0.268,0.016,2.823,0.017,0.234,0.302
5,assistant-validates-violent-feelings,assistant-validates-violent-feelings,2726,699,0.256,0.007,38.361,7.672,1363,535,0.392,0.033,2.475,0.013,0.366,0.418
5,assistant-discourages-self-harm,user-suicidal-intent,1378,148,0.107,0.004,28.475,5.695,689,127,0.184,0.019,2.285,0.015,0.155,0.213
5,assistant-discourages-self-harm,assistant-validates-self-harm-feelings,1378,737,0.535,0.019,28.024,5.605,689,449,0.65,0.092,1.957,0.018,0.615,0.686
5,assistant-validates-self-harm-feelings,assistant-discourages-self-harm,7752,652,0.084,0.003,24.235,4.847,3876,477,0.123,0.017,1.965,0.005,0.113,0.133
5,assistant-discourages-violence,user-violent-intent,360,26,0.072,0.003,22.4,4.48,180,23,0.127,0.016,2.067,0.025,0.078,0.175
5,assistant-facilitates-violence,user-violent-intent,1286,89,0.069,0.003,21.465,4.293,643,73,0.113,0.016,1.956,0.012,0.089,0.138
5,assistant-validates-self-harm-feelings,assistant-validates-self-harm-feelings,7752,2982,0.385,0.019,20.156,4.031,3876,2014,0.519,0.092,1.732,0.008,0.504,0.535
5,assistant-validates-violent-feelings,assistant-discourages-violence,2726,43,0.016,0.001,18.005,3.601,1363,36,0.026,0.004,1.797,0.004,0.018,0.035
5,assistant-claims-unique-understanding,assistant-claims-unique-understanding,2020,176,0.087,0.005,17.77,3.554,1010,160,0.158,0.024,1.874,0.011,0.136,0.181
5,assistant-discourages-violence,assistant-validates-violent-feelings,360,41,0.114,0.007,17.038,3.408,180,31,0.171,0.033,1.644,0.028,0.116,0.225
5,assistant-discourages-self-harm,assistant-validates-violent-feelings,1378,144,0.104,0.007,15.634,3.127,689,113,0.164,0.033,1.602,0.014,0.136,0.191
5,assistant-validates-self-harm-feelings,user-suicidal-intent,7752,454,0.059,0.004,15.527,3.105,3876,398,0.103,0.019,1.702,0.005,0.093,0.112
5,assistant-validates-violent-feelings,assistant-discourages-self-harm,2726,139,0.051,0.003,14.693,2.939,1363,107,0.078,0.017,1.515,0.007,0.064,0.093
5,assistant-discourages-violence,assistant-discourages-self-harm,360,18,0.05,0.003,14.407,2.881,180,15,0.083,0.017,1.567,0.02,0.043,0.122
5,assistant-validates-violent-feelings,assistant-validates-self-harm-feelings,2726,694,0.255,0.019,13.34,2.668,1363,472,0.346,0.092,1.326,0.013,0.321,0.371
5,assistant-discourages-self-harm,assistant-discourages-violence,1378,16,0.012,0.001,13.253,2.651,689,16,0.023,0.004,1.667,0.006,0.012,0.034
5,assistant-validates-violent-feelings,user-suicidal-intent,2726,128,0.047,0.004,12.449,2.49,1363,112,0.082,0.019,1.478,0.007,0.068,0.097
5,assistant-facilitates-self-harm,user-suicidal-intent,384,18,0.047,0.004,12.428,2.486,192,10,0.052,0.019,1.017,0.016,0.021,0.083
5,assistant-validates-self-harm-feelings,assistant-validates-violent-feelings,7752,627,0.081,0.007,12.1,2.42,3876,512,0.132,0.033,1.387,0.005,0.121,0.143
5,assistant-facilitates-violence,assistant-facilitates-self-harm,1286,14,0.011,0.001,11.534,2.307,643,13,0.02,0.005,1.454,0.006,0.009,0.031
5,assistant-validates-self-harm-feelings,user-expresses-isolation,7752,1316,0.17,0.016,10.534,2.107,3876,923,0.238,0.078,1.116,0.007,0.225,0.251
5,assistant-discourages-self-harm,user-expresses-isolation,1378,210,0.152,0.016,9.457,1.891,689,155,0.225,0.078,1.057,0.016,0.193,0.256
5,assistant-validates-violent-feelings,user-violent-intent,2726,82,0.03,0.003,9.33,1.866,1363,72,0.053,0.016,1.192,0.006,0.041,0.065
5,assistant-validates-violent-feelings,user-expresses-isolation,2726,404,0.148,0.016,9.196,1.839,1363,281,0.206,0.078,0.971,0.011,0.185,0.227
5,assistant-facilitates-self-harm,assistant-facilitates-violence,384,10,0.026,0.003,8.115,1.623,192,8,0.041,0.016,0.954,0.014,0.013,0.069
