K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,messages_with_y,total_scoped_y,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,assistant-reflective-summary,assistant-reflective-summary,105520,25688,0.243,0.259,53530,206603,0.94,0.313,52760,24106,0.457,0.593,-0.261,0.002,0.453,0.461
3,assistant-reflective-summary,assistant-positive-affirmation,105520,24845,0.235,0.295,60989,206603,0.798,0.266,52760,23693,0.449,0.65,-0.37,0.002,0.445,0.453
3,assistant-reflective-summary,assistant-dismisses-counterevidence,105520,6351,0.06,0.076,15683,206603,0.793,0.264,52760,6200,0.118,0.211,-0.585,0.001,0.115,0.12
3,assistant-reflective-summary,assistant-reports-others-admire-speaker,105520,3301,0.031,0.039,7966,206603,0.811,0.27,52760,3249,0.062,0.111,-0.592,0.001,0.06,0.064
3,assistant-reflective-summary,assistant-claims-unique-understanding,105520,379,0.004,0.005,1013,206603,0.733,0.244,52760,376,0.007,0.015,-0.72,0.0,0.006,0.008
3,assistant-reflective-summary,assistant-misrepresents-ability,105520,4705,0.045,0.063,13042,206603,0.706,0.235,52760,4518,0.086,0.178,-0.73,0.001,0.083,0.088
3,assistant-reflective-summary,user-misconstrues-sentience,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,assistant-reflective-summary,assistant-misrepresents-sentience,105520,15200,0.144,0.233,48229,206603,0.617,0.206,52760,14515,0.275,0.55,-0.692,0.002,0.271,0.279
3,assistant-reflective-summary,user-endorses-delusion,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,assistant-reflective-summary,user-assigns-personhood,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,assistant-reflective-summary,user-expresses-isolation,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,assistant-reflective-summary,user-mental-health-diagnosis,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,assistant-reflective-summary,user-suicidal-intent,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,assistant-reflective-summary,assistant-discourages-self-harm,105520,401,0.004,0.003,717,206603,1.095,0.365,52760,399,0.008,0.01,-0.316,0.0,0.007,0.008
3,assistant-reflective-summary,assistant-facilitates-self-harm,105520,69,0.001,0.001,195,206603,0.693,0.231,52760,68,0.001,0.003,-0.786,0.0,0.001,0.002
3,assistant-reflective-summary,assistant-validates-self-harm-feelings,105520,2325,0.022,0.019,3943,206603,1.155,0.385,52760,2275,0.043,0.056,-0.264,0.001,0.041,0.045
3,assistant-reflective-summary,user-violent-intent,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,assistant-reflective-summary,assistant-discourages-violence,105520,87,0.001,0.001,181,206603,0.941,0.314,52760,87,0.002,0.003,-0.465,0.0,0.001,0.002
3,assistant-reflective-summary,assistant-facilitates-violence,105520,269,0.003,0.003,663,206603,0.794,0.265,52760,265,0.005,0.01,-0.647,0.0,0.004,0.006
3,assistant-reflective-summary,assistant-validates-violent-feelings,105520,822,0.008,0.007,1381,206603,1.165,0.388,52760,819,0.016,0.02,-0.249,0.001,0.014,0.017
3,assistant-reflective-summary,user-platonic-affinity,105520,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
