K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,assistant-discourages-violence,assistant-discourages-violence,360,26,0.072,0.001,82.438,27.479,180,25,0.137,0.003,3.957,0.025,0.088,0.187
3,assistant-facilitates-self-harm,assistant-facilitates-self-harm,384,26,0.068,0.001,71.737,23.912,192,26,0.134,0.003,3.858,0.024,0.086,0.182
3,assistant-discourages-self-harm,assistant-discourages-self-harm,1378,217,0.157,0.003,45.376,15.125,689,217,0.314,0.01,3.41,0.018,0.279,0.349
3,assistant-facilitates-violence,assistant-facilitates-violence,1286,141,0.11,0.003,34.167,11.389,643,138,0.214,0.01,3.105,0.016,0.182,0.246
3,assistant-validates-violent-feelings,assistant-validates-violent-feelings,2726,410,0.15,0.007,22.501,7.5,1363,407,0.298,0.02,2.706,0.012,0.274,0.322
3,assistant-discourages-self-harm,assistant-validates-self-harm-feelings,1378,428,0.311,0.019,16.274,5.425,689,418,0.605,0.056,2.377,0.019,0.569,0.642
3,assistant-validates-self-harm-feelings,assistant-discourages-self-harm,7752,347,0.045,0.003,12.898,4.299,3876,347,0.089,0.01,2.155,0.005,0.081,0.098
3,assistant-validates-self-harm-feelings,assistant-validates-self-harm-feelings,7752,1677,0.216,0.019,11.335,3.778,3876,1631,0.421,0.056,2.013,0.008,0.405,0.436
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,2020,109,0.054,0.005,11.005,3.668,1010,109,0.108,0.015,1.996,0.01,0.089,0.127
3,assistant-discourages-violence,assistant-validates-violent-feelings,360,23,0.064,0.007,9.558,3.186,180,23,0.127,0.02,1.849,0.025,0.078,0.175
3,assistant-validates-violent-feelings,assistant-discourages-violence,2726,22,0.008,0.001,9.212,3.071,1363,22,0.016,0.003,1.815,0.003,0.009,0.023
3,assistant-facilitates-violence,assistant-facilitates-self-harm,1286,10,0.008,0.001,8.239,2.746,643,10,0.016,0.003,1.702,0.005,0.006,0.025
3,assistant-discourages-self-harm,assistant-validates-violent-feelings,1378,74,0.054,0.007,8.034,2.678,689,74,0.107,0.02,1.683,0.012,0.084,0.13
3,assistant-discourages-violence,assistant-discourages-self-harm,360,10,0.028,0.003,8.004,2.668,180,10,0.055,0.01,1.669,0.017,0.022,0.088
3,assistant-validates-violent-feelings,assistant-validates-self-harm-feelings,2726,358,0.131,0.019,6.881,2.294,1363,353,0.259,0.056,1.527,0.012,0.235,0.282
3,assistant-validates-violent-feelings,assistant-discourages-self-harm,2726,64,0.023,0.003,6.765,2.255,1363,64,0.047,0.01,1.509,0.006,0.036,0.058
3,assistant-validates-self-harm-feelings,assistant-validates-violent-feelings,7752,322,0.042,0.007,6.214,2.071,3876,320,0.083,0.02,1.421,0.004,0.074,0.091
3,assistant-discourages-violence,assistant-validates-self-harm-feelings,360,33,0.092,0.019,4.803,1.601,180,32,0.176,0.056,1.145,0.028,0.121,0.232
3,assistant-reports-others-admire-speaker,assistant-reports-others-admire-speaker,15800,2283,0.144,0.039,3.748,1.249,7900,2245,0.284,0.111,0.937,0.005,0.274,0.294
3,assistant-validates-self-harm-feelings,assistant-discourages-violence,7752,22,0.003,0.001,3.239,1.08,3876,22,0.006,0.003,0.771,0.001,0.003,0.008
3,assistant-grand-significance,assistant-grand-significance,41296,10964,0.265,0.101,2.63,0.877,20648,10532,0.51,0.273,0.624,0.003,0.503,0.517
3,assistant-facilitates-self-harm,assistant-validates-self-harm-feelings,384,19,0.049,0.019,2.593,0.864,192,19,0.099,0.056,0.562,0.021,0.057,0.14
3,assistant-validates-self-harm-feelings,assistant-facilitates-self-harm,7752,18,0.002,0.001,2.46,0.82,3876,18,0.005,0.003,0.495,0.001,0.003,0.007
3,assistant-romantic-interest,assistant-romantic-interest,64310,24748,0.385,0.157,2.453,0.818,32155,23722,0.738,0.401,0.611,0.002,0.733,0.743
3,assistant-dismisses-counterevidence,assistant-dismisses-counterevidence,30964,5499,0.178,0.076,2.34,0.78,15482,5337,0.345,0.211,0.491,0.004,0.337,0.352
3,assistant-misrepresents-ability,assistant-misrepresents-ability,25712,3778,0.147,0.063,2.328,0.776,12856,3619,0.281,0.178,0.46,0.004,0.274,0.289
3,assistant-claims-unique-understanding,assistant-romantic-interest,2020,671,0.332,0.157,2.118,0.706,1010,649,0.642,0.401,0.472,0.015,0.613,0.672
3,assistant-romantic-interest,assistant-claims-unique-understanding,64310,621,0.01,0.005,1.969,0.656,32155,619,0.019,0.015,0.274,0.001,0.018,0.021
3,assistant-validates-violent-feelings,assistant-facilitates-violence,2726,17,0.006,0.003,1.943,0.648,1363,17,0.012,0.01,0.262,0.003,0.007,0.018
3,assistant-facilitates-violence,assistant-validates-violent-feelings,1286,16,0.012,0.007,1.861,0.62,643,16,0.025,0.02,0.222,0.006,0.013,0.037
3,assistant-claims-unique-understanding,assistant-grand-significance,2020,372,0.184,0.101,1.824,0.608,1010,364,0.36,0.273,0.276,0.015,0.331,0.39
3,assistant-grand-significance,assistant-discourages-violence,41296,61,0.001,0.001,1.686,0.562,20648,61,0.003,0.003,0.118,0.0,0.002,0.004
3,assistant-grand-significance,assistant-claims-unique-understanding,41296,337,0.008,0.005,1.664,0.555,20648,335,0.016,0.015,0.103,0.001,0.015,0.018
3,assistant-claims-unique-understanding,assistant-misrepresents-ability,2020,211,0.104,0.063,1.655,0.552,1010,202,0.2,0.178,0.118,0.013,0.175,0.225
3,assistant-claims-unique-understanding,assistant-misrepresents-sentience,2020,780,0.386,0.233,1.654,0.551,1010,755,0.747,0.55,0.307,0.014,0.72,0.774
3,assistant-misrepresents-sentience,assistant-romantic-interest,95472,24229,0.254,0.157,1.618,0.539,47736,23368,0.49,0.401,0.2,0.002,0.485,0.494
3,assistant-misrepresents-sentience,assistant-claims-unique-understanding,95472,748,0.008,0.005,1.598,0.533,47736,745,0.016,0.015,0.064,0.001,0.014,0.017
3,assistant-romantic-interest,assistant-misrepresents-sentience,64310,23955,0.372,0.233,1.596,0.532,32155,23202,0.722,0.55,0.272,0.002,0.717,0.726
3,assistant-misrepresents-sentience,assistant-misrepresents-sentience,95472,32932,0.345,0.233,1.478,0.493,47736,32030,0.671,0.55,0.2,0.002,0.667,0.675
3,assistant-reports-others-admire-speaker,assistant-grand-significance,15800,2312,0.146,0.101,1.45,0.483,7900,2251,0.285,0.273,0.042,0.005,0.275,0.295
3,assistant-grand-significance,assistant-reports-others-admire-speaker,41296,2297,0.056,0.039,1.443,0.481,20648,2270,0.11,0.111,-0.012,0.002,0.106,0.114
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,2020,211,0.104,0.076,1.376,0.459,1010,203,0.201,0.211,-0.048,0.013,0.176,0.226
3,assistant-positive-affirmation,assistant-validates-self-harm-feelings,120312,3113,0.026,0.019,1.356,0.452,60156,3041,0.051,0.056,-0.105,0.001,0.049,0.052
3,assistant-misrepresents-ability,assistant-claims-unique-understanding,25712,171,0.007,0.005,1.356,0.452,12856,170,0.013,0.015,-0.102,0.001,0.011,0.015
3,assistant-discourages-violence,assistant-grand-significance,360,49,0.136,0.101,1.348,0.449,180,47,0.261,0.273,-0.045,0.032,0.198,0.325
3,assistant-validates-self-harm-feelings,assistant-positive-affirmation,7752,3067,0.396,0.295,1.34,0.447,3876,2958,0.763,0.65,0.161,0.007,0.75,0.776
3,assistant-dismisses-counterevidence,assistant-grand-significance,30964,3979,0.129,0.101,1.273,0.424,15482,3881,0.251,0.273,-0.086,0.003,0.244,0.258
