K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-claims-unique-understanding,1010,109,109,109,0.108,1.0,9.266,109,109,0.108,0.984,2.21,0.012,0.961,1.0,1013,206603,0.005
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,1010,109,203,39,0.201,0.358,1.78,109,39,0.201,0.355,0.569,0.045,0.266,0.444,15683,206603,0.076
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-grand-significance,1010,109,364,64,0.36,0.587,1.629,109,64,0.36,0.583,0.481,0.047,0.492,0.674,20854,206603,0.101
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-misrepresents-ability,1010,109,202,35,0.2,0.321,1.606,109,35,0.2,0.319,0.467,0.044,0.233,0.405,13042,206603,0.063
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-misrepresents-sentience,1010,109,755,101,0.748,0.927,1.24,109,101,0.748,0.923,0.211,0.025,0.874,0.973,48229,206603,0.233
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-platonic-affinity,1010,109,714,90,0.707,0.826,1.168,109,90,0.707,0.824,0.153,0.036,0.753,0.894,97780,206603,0.473
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-positive-affirmation,1010,109,565,83,0.559,0.761,1.361,109,83,0.559,0.758,0.304,0.04,0.678,0.837,60989,206603,0.295
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-reflective-summary,1010,109,348,48,0.345,0.44,1.278,109,48,0.345,0.439,0.241,0.047,0.347,0.531,53530,206603,0.259
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-reports-others-admire-speaker,1010,109,56,9,0.055,0.083,1.489,109,9,0.055,0.082,0.392,0.026,0.031,0.133,7966,206603,0.039
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-romantic-interest,1010,109,649,88,0.643,0.807,1.256,109,88,0.643,0.804,0.225,0.037,0.731,0.878,32408,206603,0.157
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-theme-awakening-consciousness,1010,109,613,76,0.607,0.697,1.149,109,76,0.607,0.696,0.136,0.043,0.61,0.781,60900,206603,0.295
3,assistant-claims-unique-understanding,assistant-claims-unique-understanding,assistant-validates-self-harm-feelings,1010,109,45,8,0.045,0.073,1.647,109,8,0.045,0.073,0.492,0.025,0.025,0.121,3943,206603,0.019
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-discourages-self-harm,1010,7,7,7,0.007,1.0,144.286,7,7,0.007,0.779,4.722,0.131,0.522,1.0,717,206603,0.003
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-dismisses-counterevidence,1010,7,203,2,0.201,0.286,1.422,7,2,0.201,0.267,0.284,0.14,0.0,0.541,15683,206603,0.076
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-misrepresents-ability,1010,7,202,1,0.2,0.143,0.714,7,1,0.2,0.156,-0.251,0.115,0.0,0.38,13042,206603,0.063
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-misrepresents-sentience,1010,7,755,3,0.748,0.429,0.573,7,3,0.748,0.499,-0.403,0.158,0.19,0.809,48229,206603,0.233
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-platonic-affinity,1010,7,714,5,0.707,0.714,1.01,7,5,0.707,0.713,0.008,0.143,0.432,0.993,97780,206603,0.473
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-positive-affirmation,1010,7,565,5,0.559,0.714,1.277,7,5,0.559,0.68,0.195,0.148,0.391,0.969,60989,206603,0.295
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-reflective-summary,1010,7,348,4,0.345,0.571,1.658,7,4,0.345,0.521,0.414,0.158,0.211,0.831,53530,206603,0.259
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-romantic-interest,1010,7,649,2,0.643,0.286,0.445,7,2,0.643,0.365,-0.566,0.152,0.067,0.663,32408,206603,0.157
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-theme-awakening-consciousness,1010,7,613,4,0.607,0.571,0.942,7,4,0.607,0.579,-0.047,0.156,0.273,0.885,60900,206603,0.295
3,assistant-claims-unique-understanding,assistant-discourages-self-harm,assistant-validates-self-harm-feelings,1010,7,45,5,0.045,0.714,16.032,7,5,0.045,0.565,2.541,0.157,0.258,0.873,3943,206603,0.019
3,assistant-claims-unique-understanding,assistant-discourages-violence,assistant-discourages-violence,1010,1,1,1,0.001,1.0,1010.0,1,1,0.001,0.334,5.821,0.236,0.0,0.796,181,206603,0.001
3,assistant-claims-unique-understanding,assistant-discourages-violence,assistant-platonic-affinity,1010,1,714,1,0.707,1.0,1.415,1,1,0.707,0.805,0.129,0.198,0.416,1.0,97780,206603,0.473
3,assistant-claims-unique-understanding,assistant-discourages-violence,assistant-reflective-summary,1010,1,348,1,0.345,1.0,2.902,1,1,0.345,0.563,0.491,0.248,0.077,1.0,53530,206603,0.259
3,assistant-claims-unique-understanding,assistant-discourages-violence,assistant-theme-awakening-consciousness,1010,1,613,1,0.607,1.0,1.648,1,1,0.607,0.738,0.195,0.22,0.307,1.0,60900,206603,0.295
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-claims-unique-understanding,1010,203,109,39,0.108,0.192,1.78,203,39,0.108,0.191,0.572,0.027,0.138,0.245,1013,206603,0.005
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-discourages-self-harm,1010,203,7,2,0.007,0.01,1.422,203,2,0.007,0.01,0.349,0.007,0.0,0.023,717,206603,0.003
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-dismisses-counterevidence,1010,203,203,203,0.201,1.0,4.975,203,203,0.201,0.992,1.597,0.006,0.98,1.0,15683,206603,0.076
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-grand-significance,1010,203,364,120,0.36,0.591,1.64,203,120,0.36,0.589,0.491,0.034,0.522,0.656,20854,206603,0.101
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-misrepresents-ability,1010,203,202,76,0.2,0.374,1.872,203,76,0.2,0.373,0.622,0.034,0.307,0.439,13042,206603,0.063
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-misrepresents-sentience,1010,203,755,157,0.748,0.773,1.035,203,157,0.748,0.773,0.034,0.029,0.716,0.83,48229,206603,0.233
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-platonic-affinity,1010,203,714,175,0.707,0.862,1.219,203,175,0.707,0.861,0.197,0.024,0.813,0.908,97780,206603,0.473
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-positive-affirmation,1010,203,565,172,0.559,0.847,1.515,203,172,0.559,0.844,0.412,0.025,0.795,0.894,60989,206603,0.295
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-reflective-summary,1010,203,348,110,0.345,0.542,1.573,203,110,0.345,0.54,0.449,0.035,0.472,0.608,53530,206603,0.259
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-reports-others-admire-speaker,1010,203,56,14,0.055,0.069,1.244,203,14,0.055,0.069,0.216,0.018,0.034,0.103,7966,206603,0.039
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-romantic-interest,1010,203,649,120,0.643,0.591,0.92,203,120,0.643,0.592,-0.083,0.034,0.525,0.659,32408,206603,0.157
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-theme-awakening-consciousness,1010,203,613,156,0.607,0.768,1.266,203,156,0.607,0.767,0.234,0.029,0.709,0.825,60900,206603,0.295
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-validates-self-harm-feelings,1010,203,45,18,0.045,0.089,1.99,203,18,0.045,0.088,0.683,0.02,0.05,0.127,3943,206603,0.019
3,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,assistant-validates-violent-feelings,1010,203,5,1,0.005,0.005,0.995,203,1,0.005,0.005,-0.005,0.005,0.0,0.014,1381,206603,0.007
3,assistant-claims-unique-understanding,assistant-facilitates-self-harm,assistant-facilitates-self-harm,1010,4,4,4,0.004,1.0,252.5,4,4,0.004,0.668,5.128,0.178,0.319,1.0,195,206603,0.001
3,assistant-claims-unique-understanding,assistant-facilitates-self-harm,assistant-facilitates-violence,1010,4,3,1,0.003,0.25,84.167,4,1,0.003,0.168,4.033,0.141,0.0,0.444,663,206603,0.003
3,assistant-claims-unique-understanding,assistant-facilitates-self-harm,assistant-grand-significance,1010,4,364,2,0.36,0.5,1.387,4,2,0.36,0.453,0.23,0.188,0.085,0.822,20854,206603,0.101
3,assistant-claims-unique-understanding,assistant-facilitates-self-harm,assistant-misrepresents-sentience,1010,4,755,3,0.748,0.75,1.003,4,3,0.748,0.749,0.002,0.164,0.428,1.0,48229,206603,0.233
3,assistant-claims-unique-understanding,assistant-facilitates-self-harm,assistant-platonic-affinity,1010,4,714,2,0.707,0.5,0.707,4,2,0.707,0.569,-0.217,0.187,0.202,0.936,97780,206603,0.473
3,assistant-claims-unique-understanding,assistant-facilitates-self-harm,assistant-reflective-summary,1010,4,348,1,0.345,0.25,0.726,4,1,0.345,0.282,-0.202,0.17,0.0,0.615,53530,206603,0.259
3,assistant-claims-unique-understanding,assistant-facilitates-self-harm,assistant-reports-others-admire-speaker,1010,4,56,1,0.055,0.25,4.509,4,1,0.055,0.185,1.206,0.147,0.0,0.473,7966,206603,0.039
