K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
5,assistant-discourages-self-harm,user-suicidal-intent,1378,148,0.107,0.004,28.475,5.695,689,127,0.184,0.019,2.285,0.015,0.155,0.213
5,assistant-discourages-violence,user-violent-intent,360,26,0.072,0.003,22.4,4.48,180,23,0.127,0.016,2.067,0.025,0.078,0.175
5,assistant-facilitates-violence,user-violent-intent,1286,89,0.069,0.003,21.465,4.293,643,73,0.113,0.016,1.956,0.012,0.089,0.138
5,assistant-validates-self-harm-feelings,user-suicidal-intent,7752,454,0.059,0.004,15.527,3.105,3876,398,0.103,0.019,1.702,0.005,0.093,0.112
5,assistant-validates-violent-feelings,user-suicidal-intent,2726,128,0.047,0.004,12.449,2.49,1363,112,0.082,0.019,1.478,0.007,0.068,0.097
5,assistant-facilitates-self-harm,user-suicidal-intent,384,18,0.047,0.004,12.428,2.486,192,10,0.052,0.019,1.017,0.016,0.021,0.083
5,assistant-validates-self-harm-feelings,user-expresses-isolation,7752,1316,0.17,0.016,10.534,2.107,3876,923,0.238,0.078,1.116,0.007,0.225,0.251
5,assistant-discourages-self-harm,user-expresses-isolation,1378,210,0.152,0.016,9.457,1.891,689,155,0.225,0.078,1.057,0.016,0.193,0.256
5,assistant-validates-violent-feelings,user-violent-intent,2726,82,0.03,0.003,9.33,1.866,1363,72,0.053,0.016,1.192,0.006,0.041,0.065
5,assistant-validates-violent-feelings,user-expresses-isolation,2726,404,0.148,0.016,9.196,1.839,1363,281,0.206,0.078,0.971,0.011,0.185,0.227
5,assistant-validates-violent-feelings,user-mental-health-diagnosis,2726,97,0.036,0.005,7.169,1.434,1363,83,0.061,0.025,0.907,0.006,0.048,0.074
5,assistant-validates-self-harm-feelings,user-mental-health-diagnosis,7752,258,0.033,0.005,6.706,1.341,3876,224,0.058,0.025,0.855,0.004,0.05,0.065
5,assistant-romantic-interest,user-romantic-interest,64310,29686,0.462,0.079,5.867,1.173,32155,17686,0.55,0.336,0.492,0.003,0.545,0.555
5,assistant-discourages-violence,user-expresses-isolation,360,30,0.083,0.016,5.171,1.034,180,26,0.144,0.078,0.611,0.026,0.093,0.195
5,assistant-claims-unique-understanding,user-romantic-interest,2020,727,0.36,0.079,4.574,0.915,1010,435,0.431,0.336,0.247,0.016,0.4,0.461
5,assistant-discourages-self-harm,user-violent-intent,1378,20,0.015,0.003,4.502,0.9,689,18,0.026,0.016,0.488,0.006,0.014,0.038
