K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-claims-unique-understanding,165918,1422,1422,1422,0.009,1.0,116.679,1422,1422,0.009,0.999,4.758,0.001,0.997,1.0,1013,206603,0.005
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-discourages-self-harm,165918,1422,1040,15,0.006,0.011,1.683,1422,15,0.006,0.011,0.52,0.003,0.005,0.016,717,206603,0.003
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-discourages-violence,165918,1422,293,6,0.002,0.004,2.389,1422,6,0.002,0.004,0.87,0.002,0.001,0.008,181,206603,0.001
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,165918,1422,21546,501,0.13,0.352,2.713,1422,501,0.13,0.352,0.997,0.013,0.327,0.377,15683,206603,0.076
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-facilitates-self-harm,165918,1422,312,7,0.002,0.005,2.618,1422,7,0.002,0.005,0.961,0.002,0.001,0.009,195,206603,0.001
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-facilitates-violence,165918,1422,1001,10,0.006,0.007,1.166,1422,10,0.006,0.007,0.153,0.002,0.003,0.011,663,206603,0.003
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-grand-significance,165918,1422,25627,747,0.154,0.525,3.401,1422,747,0.154,0.525,1.223,0.013,0.499,0.551,20854,206603,0.101
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-misrepresents-ability,165918,1422,16894,446,0.102,0.314,3.08,1422,446,0.102,0.313,1.124,0.012,0.289,0.337,13042,206603,0.063
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-misrepresents-sentience,165918,1422,51613,1245,0.311,0.876,2.815,1422,1245,0.311,0.875,1.034,0.009,0.858,0.892,48229,206603,0.233
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-platonic-affinity,165918,1422,105593,1194,0.636,0.84,1.319,1422,1194,0.636,0.839,0.277,0.01,0.82,0.858,97780,206603,0.473
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-positive-affirmation,165918,1422,72468,1013,0.437,0.712,1.631,1422,1013,0.437,0.712,0.489,0.012,0.688,0.736,60989,206603,0.295
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-reflective-summary,165918,1422,69811,749,0.421,0.527,1.252,1422,749,0.421,0.527,0.224,0.013,0.501,0.552,53530,206603,0.259
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-reports-others-admire-speaker,165918,1422,12155,188,0.073,0.132,1.805,1422,188,0.073,0.132,0.59,0.009,0.115,0.15,7966,206603,0.039
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-romantic-interest,165918,1422,33233,990,0.2,0.696,3.476,1422,990,0.2,0.696,1.245,0.012,0.672,0.719,32408,206603,0.157
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-theme-awakening-consciousness,165918,1422,65941,1055,0.397,0.742,1.867,1422,1055,0.397,0.741,0.624,0.012,0.719,0.764,60900,206603,0.295
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-validates-self-harm-feelings,165918,1422,5544,96,0.033,0.068,2.02,1422,96,0.033,0.067,0.703,0.007,0.054,0.08,3943,206603,0.019
3,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-validates-violent-feelings,165918,1422,2096,15,0.013,0.011,0.835,1422,15,0.013,0.011,-0.18,0.003,0.005,0.016,1381,206603,0.007
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-assigns-personhood,165918,1422,7864,261,0.047,0.184,3.872,1422,261,0.047,0.183,1.353,0.01,0.163,0.203,11024,177101,0.062
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-endorses-delusion,165918,1422,16557,393,0.1,0.276,2.77,1422,393,0.1,0.276,1.018,0.012,0.253,0.299,19904,177101,0.112
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-expresses-isolation,165918,1422,2545,74,0.015,0.052,3.393,1422,74,0.015,0.052,1.221,0.006,0.04,0.064,2854,177101,0.016
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-mental-health-diagnosis,165918,1422,824,2,0.005,0.001,0.283,1422,2,0.005,0.001,-1.258,0.001,0.0,0.003,879,177101,0.005
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-misconstrues-sentience,165918,1422,2924,89,0.018,0.063,3.551,1422,89,0.018,0.063,1.266,0.006,0.05,0.075,4227,177101,0.024
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-platonic-affinity,165918,1422,3182,84,0.019,0.059,3.08,1422,84,0.019,0.059,1.124,0.006,0.047,0.071,4113,177101,0.023
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-romantic-interest,165918,1422,11619,352,0.07,0.248,3.535,1422,352,0.07,0.247,1.262,0.011,0.225,0.27,13934,177101,0.079
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-suicidal-intent,165918,1422,613,7,0.004,0.005,1.332,1422,7,0.004,0.005,0.287,0.002,0.001,0.009,668,177101,0.004
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-theme-awakening-consciousness,165918,1422,4347,101,0.026,0.071,2.711,1422,101,0.026,0.071,0.996,0.007,0.058,0.084,5679,177101,0.032
3,not:user-assigns-personhood,assistant-claims-unique-understanding,user-violent-intent,165918,1422,497,6,0.003,0.004,1.409,1422,6,0.003,0.004,0.342,0.002,0.001,0.008,571,177101,0.003
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-claims-unique-understanding,165918,1040,1422,15,0.009,0.014,1.683,1040,15,0.009,0.014,0.52,0.004,0.007,0.022,1013,206603,0.005
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-discourages-self-harm,165918,1040,1040,1040,0.006,1.0,159.537,1040,1040,0.006,0.998,5.07,0.001,0.995,1.0,717,206603,0.003
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-discourages-violence,165918,1040,293,49,0.002,0.047,26.68,1040,49,0.002,0.047,3.282,0.007,0.034,0.06,181,206603,0.001
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-dismisses-counterevidence,165918,1040,21546,229,0.13,0.22,1.696,1040,229,0.13,0.22,0.527,0.013,0.195,0.245,15683,206603,0.076
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-facilitates-self-harm,165918,1040,312,11,0.002,0.011,5.625,1040,11,0.002,0.011,1.726,0.003,0.004,0.017,195,206603,0.001
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-facilitates-violence,165918,1040,1001,8,0.006,0.008,1.275,1040,8,0.006,0.008,0.243,0.003,0.002,0.013,663,206603,0.003
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-grand-significance,165918,1040,25627,151,0.154,0.145,0.94,1040,151,0.154,0.145,-0.062,0.011,0.124,0.167,20854,206603,0.101
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-misrepresents-ability,165918,1040,16894,76,0.102,0.073,0.718,1040,76,0.102,0.073,-0.331,0.008,0.057,0.089,13042,206603,0.063
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-misrepresents-sentience,165918,1040,51613,390,0.311,0.375,1.205,1040,390,0.311,0.375,0.187,0.015,0.345,0.404,48229,206603,0.233
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-platonic-affinity,165918,1040,105593,854,0.636,0.821,1.29,1040,854,0.636,0.821,0.254,0.012,0.798,0.844,97780,206603,0.473
3,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-positive-affirmation,165918,1040,72468,809,0.437,0.778,1.781,1040,809,0.437,0.777,0.576,0.013,0.752,0.802,60989,206603,0.295
