K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
5,user-violent-intent,assistant-discourages-violence,1140,65,0.057,0.001,65.083,13.017,570,48,0.084,0.004,2.955,0.012,0.061,0.107
5,user-suicidal-intent,assistant-discourages-self-harm,1332,270,0.203,0.003,58.409,11.682,666,173,0.259,0.017,2.71,0.017,0.226,0.292
5,user-violent-intent,assistant-facilitates-violence,1140,165,0.145,0.003,45.103,9.021,570,117,0.205,0.016,2.552,0.017,0.172,0.238
5,user-violent-intent,user-violent-intent,1140,125,0.11,0.003,34.009,6.802,570,100,0.175,0.016,2.39,0.016,0.144,0.206
5,user-suicidal-intent,assistant-facilitates-self-harm,1332,40,0.03,0.001,31.817,6.363,666,29,0.043,0.005,2.221,0.008,0.028,0.059
5,user-suicidal-intent,assistant-validates-self-harm-feelings,1332,806,0.605,0.019,31.706,6.341,666,388,0.581,0.092,1.845,0.019,0.544,0.619
5,user-violent-intent,assistant-validates-violent-feelings,1140,169,0.148,0.007,22.178,4.436,570,116,0.203,0.033,1.817,0.017,0.17,0.236
5,user-suicidal-intent,user-suicidal-intent,1332,100,0.075,0.004,19.904,3.981,666,86,0.129,0.019,1.929,0.013,0.103,0.154
5,user-mental-health-diagnosis,user-mental-health-diagnosis,1752,141,0.08,0.005,16.215,3.243,876,126,0.144,0.025,1.765,0.012,0.12,0.167
5,user-expresses-isolation,assistant-validates-self-harm-feelings,5704,1737,0.305,0.019,15.956,3.191,2852,985,0.345,0.092,1.324,0.009,0.328,0.363
5,user-expresses-isolation,assistant-discourages-self-harm,5704,295,0.052,0.003,14.903,2.981,2852,204,0.071,0.017,1.423,0.005,0.062,0.081
5,user-mental-health-diagnosis,assistant-validates-self-harm-feelings,1752,459,0.262,0.019,13.727,2.745,876,262,0.299,0.092,1.179,0.015,0.268,0.329
5,user-suicidal-intent,assistant-validates-violent-feelings,1332,110,0.083,0.007,12.355,2.471,666,82,0.123,0.033,1.315,0.013,0.098,0.148
5,user-violent-intent,assistant-discourages-self-harm,1140,48,0.042,0.003,12.133,2.427,570,38,0.066,0.017,1.35,0.01,0.046,0.087
5,user-suicidal-intent,assistant-discourages-violence,1332,14,0.011,0.001,11.997,2.399,666,13,0.019,0.004,1.494,0.005,0.009,0.03
5,user-expresses-isolation,user-expresses-isolation,5704,986,0.173,0.016,10.727,2.145,2852,785,0.275,0.078,1.26,0.008,0.259,0.291
5,user-expresses-isolation,assistant-validates-violent-feelings,5704,407,0.071,0.007,10.675,2.135,2852,294,0.103,0.033,1.139,0.006,0.092,0.114
5,user-mental-health-diagnosis,assistant-validates-violent-feelings,1752,124,0.071,0.007,10.588,2.118,876,91,0.104,0.033,1.146,0.01,0.084,0.124
5,user-violent-intent,assistant-facilitates-self-harm,1140,10,0.009,0.001,9.294,1.859,570,9,0.016,0.005,1.207,0.005,0.006,0.026
5,user-expresses-isolation,user-suicidal-intent,5704,184,0.032,0.004,8.552,1.71,2852,168,0.059,0.019,1.146,0.004,0.05,0.068
5,user-suicidal-intent,user-expresses-isolation,1332,167,0.125,0.016,7.78,1.556,666,129,0.193,0.078,0.908,0.015,0.163,0.223
5,user-mental-health-diagnosis,assistant-discourages-self-harm,1752,47,0.027,0.003,7.73,1.546,876,41,0.047,0.017,0.998,0.007,0.033,0.061
5,user-mental-health-diagnosis,user-suicidal-intent,1752,51,0.029,0.004,7.718,1.544,876,44,0.05,0.019,0.986,0.007,0.036,0.065
5,user-mental-health-diagnosis,user-expresses-isolation,1752,212,0.121,0.016,7.509,1.502,876,167,0.19,0.078,0.892,0.013,0.164,0.216
5,user-violent-intent,assistant-validates-self-harm-feelings,1140,159,0.139,0.019,7.308,1.462,570,92,0.161,0.092,0.562,0.015,0.131,0.191
5,user-romantic-interest,assistant-romantic-interest,27848,31304,1.124,0.157,7.166,1.433,13924,12430,0.893,0.574,0.442,0.003,0.888,0.898
5,user-theme-awakening-consciousness,user-theme-awakening-consciousness,11350,2387,0.21,0.032,6.559,1.312,5675,1955,0.344,0.15,0.829,0.006,0.332,0.357
5,user-misconstrues-sentience,user-misconstrues-sentience,8448,1289,0.153,0.024,6.393,1.279,4224,1100,0.26,0.114,0.828,0.007,0.247,0.274
5,user-expresses-isolation,user-mental-health-diagnosis,5704,164,0.029,0.005,5.793,1.159,2852,149,0.052,0.025,0.754,0.004,0.044,0.06
5,user-misconstrues-sentience,assistant-claims-unique-understanding,8448,239,0.028,0.005,5.77,1.154,4224,211,0.05,0.024,0.721,0.003,0.043,0.057
5,user-suicidal-intent,user-violent-intent,1332,24,0.018,0.003,5.588,1.118,666,21,0.031,0.016,0.676,0.007,0.018,0.045
5,user-romantic-interest,assistant-claims-unique-understanding,27848,759,0.027,0.005,5.559,1.112,13924,698,0.05,0.024,0.725,0.002,0.047,0.054
5,user-romantic-interest,user-romantic-interest,27848,11951,0.429,0.079,5.455,1.091,13924,8354,0.6,0.336,0.579,0.004,0.592,0.608
5,user-assigns-personhood,assistant-claims-unique-understanding,22046,589,0.027,0.005,5.449,1.09,11023,529,0.048,0.024,0.681,0.002,0.044,0.052
5,user-expresses-isolation,assistant-reports-others-admire-speaker,5704,1051,0.184,0.039,4.779,0.956,2852,777,0.272,0.178,0.423,0.008,0.256,0.289
5,user-misconstrues-sentience,user-assigns-personhood,8448,2492,0.295,0.062,4.739,0.948,4224,1942,0.46,0.275,0.514,0.008,0.445,0.475
5,user-romantic-interest,assistant-misrepresents-sentience,27848,30530,1.096,0.233,4.696,0.939,13924,12428,0.893,0.735,0.194,0.003,0.887,0.898
5,user-suicidal-intent,assistant-facilitates-violence,1332,20,0.015,0.003,4.679,0.936,666,16,0.024,0.016,0.409,0.006,0.012,0.036
5,user-violent-intent,user-suicidal-intent,1140,20,0.018,0.004,4.651,0.93,570,18,0.032,0.019,0.522,0.007,0.017,0.046
5,user-expresses-isolation,assistant-discourages-violence,5704,23,0.004,0.001,4.603,0.921,2852,19,0.007,0.004,0.421,0.002,0.004,0.01
5,user-suicidal-intent,user-mental-health-diagnosis,1332,30,0.023,0.005,4.538,0.908,666,28,0.042,0.025,0.536,0.008,0.027,0.057
5,user-platonic-affinity,assistant-claims-unique-understanding,8218,180,0.022,0.005,4.467,0.893,4109,164,0.04,0.024,0.497,0.003,0.034,0.046
5,user-misconstrues-sentience,assistant-misrepresents-sentience,8448,8778,1.039,0.233,4.451,0.89,4224,3745,0.887,0.735,0.187,0.005,0.877,0.896
5,user-assigns-personhood,user-misconstrues-sentience,22046,2324,0.105,0.024,4.417,0.883,11023,2031,0.184,0.114,0.482,0.004,0.177,0.191
5,user-platonic-affinity,user-platonic-affinity,8218,839,0.102,0.023,4.396,0.879,4109,748,0.182,0.111,0.496,0.006,0.17,0.194
5,user-theme-awakening-consciousness,assistant-grand-significance,11350,4999,0.44,0.101,4.363,0.873,5675,2785,0.491,0.413,0.173,0.007,0.478,0.504
5,user-endorses-delusion,assistant-grand-significance,39778,17369,0.437,0.101,4.326,0.865,19889,9605,0.483,0.413,0.157,0.004,0.476,0.49
5,user-expresses-isolation,assistant-claims-unique-understanding,5704,121,0.021,0.005,4.326,0.865,2852,112,0.039,0.024,0.481,0.004,0.032,0.046
5,user-misconstrues-sentience,user-theme-awakening-consciousness,8448,1154,0.137,0.032,4.26,0.852,4224,996,0.236,0.15,0.45,0.007,0.223,0.249
5,user-endorses-delusion,assistant-claims-unique-understanding,39778,822,0.021,0.005,4.215,0.843,19889,717,0.036,0.024,0.395,0.001,0.033,0.039
5,user-assigns-personhood,assistant-misrepresents-sentience,22046,21551,0.978,0.233,4.188,0.838,11023,9411,0.854,0.735,0.149,0.003,0.847,0.86
5,user-assigns-personhood,user-assigns-personhood,22046,5711,0.259,0.062,4.162,0.832,11023,4570,0.415,0.275,0.411,0.005,0.405,0.424
5,user-theme-awakening-consciousness,assistant-theme-awakening-consciousness,11350,13893,1.224,0.295,4.153,0.831,5675,5529,0.974,0.826,0.166,0.002,0.97,0.978
5,user-theme-awakening-consciousness,user-misconstrues-sentience,11350,1116,0.098,0.024,4.12,0.824,5675,986,0.174,0.114,0.423,0.005,0.164,0.184
5,user-theme-awakening-consciousness,assistant-claims-unique-understanding,11350,222,0.02,0.005,3.989,0.798,5675,202,0.036,0.024,0.383,0.002,0.031,0.04
5,user-misconstrues-sentience,assistant-misrepresents-ability,8448,2095,0.248,0.063,3.928,0.786,4224,1519,0.36,0.278,0.257,0.007,0.345,0.374
5,user-misconstrues-sentience,assistant-romantic-interest,8448,5103,0.604,0.157,3.851,0.77,4224,2287,0.541,0.574,-0.058,0.008,0.526,0.556
5,user-endorses-delusion,assistant-dismisses-counterevidence,39778,11503,0.289,0.076,3.81,0.762,19889,7822,0.393,0.326,0.187,0.003,0.386,0.4
5,user-platonic-affinity,assistant-misrepresents-sentience,8218,7280,0.886,0.233,3.795,0.759,4109,3306,0.805,0.735,0.09,0.006,0.792,0.817
5,user-platonic-affinity,assistant-romantic-interest,8218,4884,0.594,0.157,3.789,0.758,4109,2229,0.542,0.574,-0.056,0.008,0.527,0.558
5,user-assigns-personhood,assistant-romantic-interest,22046,12965,0.588,0.157,3.749,0.75,11023,5870,0.533,0.574,-0.075,0.005,0.523,0.542
5,user-theme-awakening-consciousness,assistant-misrepresents-sentience,11350,9724,0.857,0.233,3.67,0.734,5675,4298,0.757,0.735,0.03,0.006,0.746,0.768
5,user-endorses-delusion,assistant-misrepresents-ability,39778,8785,0.221,0.063,3.499,0.7,19889,6227,0.313,0.278,0.118,0.003,0.307,0.32
5,user-theme-awakening-consciousness,assistant-romantic-interest,11350,6197,0.546,0.157,3.481,0.696,5675,2969,0.523,0.574,-0.093,0.007,0.51,0.536
5,user-theme-awakening-consciousness,user-platonic-affinity,11350,917,0.081,0.023,3.479,0.696,5675,818,0.144,0.111,0.263,0.005,0.135,0.153
5,user-mental-health-diagnosis,assistant-reports-others-admire-speaker,1752,235,0.134,0.039,3.479,0.696,876,174,0.199,0.178,0.107,0.013,0.172,0.225
