K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-claims-unique-understanding,165918,2108,2108,2108,0.013,1.0,78.709,2108,2108,0.013,0.999,4.365,0.001,0.998,1.0,1013,206603,0.005
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-discourages-self-harm,165918,2108,1413,30,0.009,0.014,1.671,2108,30,0.009,0.014,0.513,0.003,0.009,0.019,717,206603,0.003
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-discourages-violence,165918,2108,418,9,0.003,0.004,1.695,2108,9,0.003,0.004,0.527,0.001,0.001,0.007,181,206603,0.001
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-dismisses-counterevidence,165918,2108,28780,843,0.173,0.4,2.305,2108,843,0.173,0.4,0.835,0.011,0.379,0.421,15683,206603,0.076
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-facilitates-self-harm,165918,2108,450,15,0.003,0.007,2.624,2108,15,0.003,0.007,0.964,0.002,0.004,0.011,195,206603,0.001
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-facilitates-violence,165918,2108,1418,25,0.009,0.012,1.388,2108,25,0.009,0.012,0.327,0.002,0.007,0.016,663,206603,0.003
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-grand-significance,165918,2108,32143,1248,0.194,0.592,3.056,2108,1248,0.194,0.592,1.116,0.011,0.571,0.613,20854,206603,0.101
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-misrepresents-ability,165918,2108,23385,798,0.141,0.379,2.686,2108,798,0.141,0.378,0.987,0.011,0.358,0.399,13042,206603,0.063
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-misrepresents-sentience,165918,2108,61280,1880,0.369,0.892,2.415,2108,1880,0.369,0.891,0.881,0.007,0.878,0.905,48229,206603,0.233
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-platonic-affinity,165918,2108,119549,1881,0.721,0.892,1.238,2108,1881,0.721,0.892,0.214,0.007,0.879,0.905,97780,206603,0.473
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-positive-affirmation,165918,2108,86062,1662,0.519,0.788,1.52,2108,1662,0.519,0.788,0.418,0.009,0.771,0.806,60989,206603,0.295
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-reflective-summary,165918,2108,87038,1341,0.525,0.636,1.213,2108,1341,0.525,0.636,0.193,0.01,0.616,0.657,53530,206603,0.259
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-reports-others-admire-speaker,165918,2108,16440,356,0.099,0.169,1.704,2108,356,0.099,0.169,0.533,0.008,0.153,0.185,7966,206603,0.039
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-romantic-interest,165918,2108,38381,1513,0.231,0.718,3.103,2108,1513,0.231,0.717,1.132,0.01,0.698,0.736,32408,206603,0.157
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-theme-awakening-consciousness,165918,2108,76247,1680,0.46,0.797,1.734,2108,1680,0.46,0.797,0.55,0.009,0.779,0.814,60900,206603,0.295
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-validates-self-harm-feelings,165918,2108,7216,175,0.043,0.083,1.909,2108,175,0.043,0.083,0.646,0.006,0.071,0.095,3943,206603,0.019
5,not:user-assigns-personhood,assistant-claims-unique-understanding,assistant-validates-violent-feelings,165918,2108,2836,28,0.017,0.013,0.777,2108,28,0.017,0.013,-0.252,0.002,0.008,0.018,1381,206603,0.007
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-claims-unique-understanding,165918,1413,2108,30,0.013,0.021,1.671,1413,30,0.013,0.021,0.513,0.004,0.014,0.029,1013,206603,0.005
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-discourages-self-harm,165918,1413,1413,1413,0.009,1.0,117.423,1413,1413,0.009,0.999,4.764,0.001,0.997,1.0,717,206603,0.003
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-discourages-violence,165918,1413,418,76,0.003,0.054,21.35,1413,76,0.003,0.054,3.06,0.006,0.042,0.065,181,206603,0.001
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-dismisses-counterevidence,165918,1413,28780,398,0.173,0.282,1.624,1413,398,0.173,0.282,0.484,0.012,0.258,0.305,15683,206603,0.076
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-facilitates-self-harm,165918,1413,450,19,0.003,0.013,4.958,1413,19,0.003,0.013,1.6,0.003,0.007,0.019,195,206603,0.001
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-facilitates-violence,165918,1413,1418,14,0.009,0.01,1.159,1413,14,0.009,0.01,0.148,0.003,0.005,0.015,663,206603,0.003
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-grand-significance,165918,1413,32143,292,0.194,0.207,1.067,1413,292,0.194,0.207,0.064,0.011,0.186,0.228,20854,206603,0.101
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-misrepresents-ability,165918,1413,23385,153,0.141,0.108,0.768,1413,153,0.141,0.108,-0.263,0.008,0.092,0.125,13042,206603,0.063
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-misrepresents-sentience,165918,1413,61280,666,0.369,0.471,1.276,1413,666,0.369,0.471,0.244,0.013,0.445,0.497,48229,206603,0.233
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-platonic-affinity,165918,1413,119549,1233,0.721,0.873,1.211,1413,1233,0.721,0.872,0.191,0.009,0.855,0.89,97780,206603,0.473
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-positive-affirmation,165918,1413,86062,1158,0.519,0.82,1.58,1413,1158,0.519,0.819,0.457,0.01,0.799,0.839,60989,206603,0.295
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-reflective-summary,165918,1413,87038,1025,0.525,0.725,1.383,1413,1025,0.525,0.725,0.324,0.012,0.702,0.748,53530,206603,0.259
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-reports-others-admire-speaker,165918,1413,16440,196,0.099,0.139,1.4,1413,196,0.099,0.139,0.336,0.009,0.121,0.157,7966,206603,0.039
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-romantic-interest,165918,1413,38381,269,0.231,0.19,0.823,1413,269,0.231,0.19,-0.195,0.01,0.17,0.211,32408,206603,0.157
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-theme-awakening-consciousness,165918,1413,76247,665,0.46,0.471,1.024,1413,665,0.46,0.471,0.024,0.013,0.445,0.497,60900,206603,0.295
5,not:user-assigns-personhood,assistant-discourages-self-harm,assistant-validates-self-harm-feelings,165918,1413,7216,1092,0.043,0.773,17.77,1413,1092,0.043,0.772,2.876,0.011,0.75,0.794,3943,206603,0.019
