K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,user-violent-intent,user-violent-intent,1140,79,0.069,0.003,21.494,7.165,570,75,0.131,0.01,2.61,0.014,0.104,0.159
3,user-suicidal-intent,user-suicidal-intent,1332,62,0.047,0.004,12.34,4.113,666,62,0.093,0.011,2.109,0.011,0.071,0.115
3,user-mental-health-diagnosis,user-mental-health-diagnosis,1752,86,0.049,0.005,9.89,3.297,876,86,0.098,0.015,1.889,0.01,0.078,0.118
3,user-expresses-isolation,user-expresses-isolation,5704,564,0.099,0.016,6.136,2.045,2852,562,0.197,0.048,1.421,0.007,0.182,0.212
3,user-expresses-isolation,user-suicidal-intent,5704,99,0.017,0.004,4.602,1.534,2852,99,0.035,0.011,1.124,0.003,0.028,0.041
3,user-suicidal-intent,user-expresses-isolation,1332,96,0.072,0.016,4.472,1.491,666,96,0.144,0.048,1.107,0.014,0.117,0.17
3,user-mental-health-diagnosis,user-expresses-isolation,1752,126,0.072,0.016,4.463,1.488,876,125,0.142,0.048,1.097,0.012,0.119,0.166
3,user-mental-health-diagnosis,user-suicidal-intent,1752,28,0.016,0.004,4.237,1.412,876,28,0.032,0.011,1.041,0.006,0.02,0.044
3,user-suicidal-intent,user-violent-intent,1332,16,0.012,0.003,3.726,1.242,666,16,0.024,0.01,0.911,0.006,0.012,0.036
3,user-misconstrues-sentience,user-misconstrues-sentience,8448,714,0.085,0.024,3.541,1.18,4224,711,0.168,0.07,0.878,0.006,0.157,0.18
3,user-theme-awakening-consciousness,user-theme-awakening-consciousness,11350,1267,0.112,0.032,3.481,1.16,5675,1266,0.223,0.093,0.873,0.006,0.212,0.234
3,user-romantic-interest,user-romantic-interest,27848,6301,0.226,0.079,2.876,0.959,13924,6264,0.45,0.218,0.725,0.004,0.442,0.458
3,user-expresses-isolation,user-mental-health-diagnosis,5704,79,0.014,0.005,2.79,0.93,2852,79,0.028,0.015,0.625,0.003,0.022,0.034
3,user-misconstrues-sentience,user-assigns-personhood,8448,1355,0.16,0.062,2.577,0.859,4224,1338,0.317,0.175,0.591,0.007,0.303,0.331
3,user-suicidal-intent,user-mental-health-diagnosis,1332,17,0.013,0.005,2.571,0.857,666,17,0.025,0.015,0.543,0.006,0.014,0.037
3,user-assigns-personhood,user-misconstrues-sentience,22046,1283,0.058,0.024,2.438,0.813,11023,1276,0.116,0.07,0.504,0.003,0.11,0.122
3,user-platonic-affinity,user-platonic-affinity,8218,448,0.055,0.023,2.347,0.782,4109,448,0.109,0.068,0.471,0.005,0.099,0.119
3,user-assigns-personhood,user-assigns-personhood,22046,3137,0.142,0.062,2.286,0.762,11023,3092,0.28,0.175,0.47,0.004,0.272,0.289
3,user-theme-awakening-consciousness,user-misconstrues-sentience,11350,583,0.051,0.024,2.152,0.717,5675,581,0.102,0.07,0.381,0.004,0.094,0.11
3,user-misconstrues-sentience,user-theme-awakening-consciousness,8448,576,0.068,0.032,2.126,0.709,4224,576,0.136,0.093,0.381,0.005,0.126,0.147
3,user-platonic-affinity,user-misconstrues-sentience,8218,354,0.043,0.024,1.805,0.602,4109,353,0.086,0.07,0.206,0.004,0.077,0.094
3,user-platonic-affinity,user-assigns-personhood,8218,919,0.112,0.062,1.797,0.599,4109,909,0.221,0.175,0.232,0.006,0.209,0.234
3,user-theme-awakening-consciousness,user-assigns-personhood,11350,1257,0.111,0.062,1.779,0.593,5675,1242,0.219,0.175,0.222,0.005,0.208,0.23
3,user-assigns-personhood,user-theme-awakening-consciousness,22046,1250,0.057,0.032,1.768,0.589,11023,1245,0.113,0.093,0.193,0.003,0.107,0.119
3,user-theme-awakening-consciousness,user-platonic-affinity,11350,463,0.041,0.023,1.756,0.585,5675,463,0.082,0.068,0.181,0.004,0.074,0.089
3,user-assigns-personhood,user-platonic-affinity,22046,885,0.04,0.023,1.729,0.576,11023,884,0.08,0.068,0.164,0.003,0.075,0.085
3,user-platonic-affinity,user-theme-awakening-consciousness,8218,451,0.055,0.032,1.711,0.57,4109,451,0.11,0.093,0.164,0.005,0.1,0.119
3,user-endorses-delusion,user-endorses-delusion,39778,7597,0.191,0.112,1.699,0.566,19889,7535,0.379,0.301,0.231,0.003,0.372,0.386
3,user-misconstrues-sentience,user-platonic-affinity,8448,327,0.039,0.023,1.667,0.556,4224,327,0.077,0.068,0.129,0.004,0.069,0.085
3,user-expresses-isolation,user-violent-intent,5704,28,0.005,0.003,1.523,0.508,2852,28,0.01,0.01,0.018,0.002,0.006,0.013
3,user-theme-awakening-consciousness,user-endorses-delusion,11350,1748,0.154,0.112,1.37,0.457,5675,1735,0.306,0.301,0.017,0.006,0.294,0.318
3,user-endorses-delusion,user-theme-awakening-consciousness,39778,1726,0.043,0.032,1.353,0.451,19889,1720,0.086,0.093,-0.074,0.002,0.083,0.09
3,user-misconstrues-sentience,user-endorses-delusion,8448,1273,0.151,0.112,1.341,0.447,4224,1263,0.299,0.301,-0.006,0.007,0.285,0.313
3,user-endorses-delusion,user-violent-intent,39778,171,0.004,0.003,1.333,0.444,19889,166,0.008,0.01,-0.144,0.001,0.007,0.01
3,user-violent-intent,user-expresses-isolation,1140,24,0.021,0.016,1.306,0.435,570,24,0.042,0.048,-0.122,0.008,0.026,0.059
3,user-romantic-interest,user-misconstrues-sentience,27848,841,0.03,0.024,1.265,0.422,13924,840,0.06,0.07,-0.147,0.002,0.056,0.064
3,user-platonic-affinity,user-romantic-interest,8218,816,0.099,0.079,1.262,0.421,4109,807,0.196,0.218,-0.104,0.006,0.184,0.209
3,user-violent-intent,user-endorses-delusion,1140,161,0.141,0.112,1.257,0.419,570,157,0.276,0.301,-0.087,0.019,0.239,0.312
3,user-romantic-interest,user-theme-awakening-consciousness,27848,1120,0.04,0.032,1.254,0.418,13924,1116,0.08,0.093,-0.15,0.002,0.076,0.085
3,user-assigns-personhood,user-romantic-interest,22046,2166,0.098,0.079,1.249,0.416,11023,2154,0.195,0.218,-0.109,0.004,0.188,0.203
3,user-misconstrues-sentience,user-romantic-interest,8448,828,0.098,0.079,1.246,0.415,4224,825,0.195,0.218,-0.11,0.006,0.183,0.207
3,user-assigns-personhood,user-endorses-delusion,22046,3080,0.14,0.112,1.243,0.414,11023,3051,0.277,0.301,-0.083,0.004,0.268,0.285
3,user-endorses-delusion,user-misconstrues-sentience,39778,1174,0.03,0.024,1.237,0.412,19889,1172,0.059,0.07,-0.171,0.002,0.056,0.062
3,user-romantic-interest,user-assigns-personhood,27848,2125,0.076,0.062,1.226,0.409,13924,2102,0.151,0.175,-0.15,0.003,0.145,0.157
3,user-endorses-delusion,user-assigns-personhood,39778,2964,0.075,0.062,1.197,0.399,19889,2928,0.147,0.175,-0.175,0.003,0.142,0.152
3,user-theme-awakening-consciousness,user-romantic-interest,11350,1059,0.093,0.079,1.186,0.395,5675,1055,0.186,0.218,-0.159,0.005,0.176,0.196
3,user-romantic-interest,user-platonic-affinity,27848,739,0.027,0.023,1.143,0.381,13924,738,0.053,0.068,-0.25,0.002,0.049,0.057
3,user-misconstrues-sentience,user-violent-intent,8448,31,0.004,0.003,1.138,0.379,4224,31,0.007,0.01,-0.273,0.001,0.005,0.01
3,user-platonic-affinity,user-endorses-delusion,8218,1032,0.126,0.112,1.117,0.372,4109,1025,0.249,0.301,-0.187,0.007,0.236,0.263
3,user-violent-intent,user-misconstrues-sentience,1140,30,0.026,0.024,1.103,0.368,570,30,0.053,0.07,-0.283,0.009,0.034,0.071
3,user-assigns-personhood,user-violent-intent,22046,78,0.004,0.003,1.097,0.366,11023,76,0.007,0.01,-0.335,0.001,0.005,0.008
3,user-theme-awakening-consciousness,user-violent-intent,11350,39,0.003,0.003,1.066,0.355,5675,39,0.007,0.01,-0.338,0.001,0.005,0.009
3,user-endorses-delusion,user-platonic-affinity,39778,981,0.025,0.023,1.062,0.354,19889,980,0.049,0.068,-0.323,0.002,0.046,0.052
3,user-violent-intent,user-romantic-interest,1140,92,0.081,0.079,1.026,0.342,570,92,0.162,0.218,-0.299,0.015,0.131,0.192
3,user-violent-intent,user-theme-awakening-consciousness,1140,37,0.032,0.032,1.012,0.337,570,37,0.065,0.093,-0.36,0.01,0.045,0.085
3,user-violent-intent,user-assigns-personhood,1140,70,0.061,0.062,0.986,0.329,570,65,0.114,0.175,-0.428,0.013,0.088,0.14
3,user-expresses-isolation,user-platonic-affinity,5704,129,0.023,0.023,0.974,0.325,2852,129,0.045,0.068,-0.408,0.004,0.038,0.053
3,user-romantic-interest,user-violent-intent,27848,87,0.003,0.003,0.969,0.323,13924,84,0.006,0.01,-0.469,0.001,0.005,0.007
3,user-expresses-isolation,user-misconstrues-sentience,5704,131,0.023,0.024,0.962,0.321,2852,130,0.046,0.07,-0.427,0.004,0.038,0.053
3,user-expresses-isolation,user-assigns-personhood,5704,306,0.054,0.062,0.862,0.287,2852,303,0.106,0.175,-0.501,0.006,0.095,0.118
3,user-expresses-isolation,user-endorses-delusion,5704,523,0.092,0.112,0.816,0.272,2852,522,0.183,0.301,-0.496,0.007,0.169,0.197
3,user-theme-awakening-consciousness,user-expresses-isolation,11350,149,0.013,0.016,0.815,0.272,5675,149,0.026,0.048,-0.594,0.002,0.022,0.03
3,user-suicidal-intent,user-endorses-delusion,1332,119,0.089,0.112,0.795,0.265,666,118,0.178,0.301,-0.527,0.015,0.149,0.207
3,user-expresses-isolation,user-theme-awakening-consciousness,5704,144,0.025,0.032,0.787,0.262,2852,144,0.051,0.093,-0.612,0.004,0.042,0.059
3,user-endorses-delusion,user-expresses-isolation,39778,502,0.013,0.016,0.783,0.261,19889,500,0.025,0.048,-0.638,0.001,0.023,0.027
3,user-endorses-delusion,user-suicidal-intent,39778,117,0.003,0.004,0.78,0.26,19889,117,0.006,0.011,-0.65,0.001,0.005,0.007
3,user-platonic-affinity,user-expresses-isolation,8218,103,0.013,0.016,0.778,0.259,4109,102,0.025,0.048,-0.65,0.002,0.02,0.03
3,user-misconstrues-sentience,user-expresses-isolation,8448,103,0.012,0.016,0.757,0.252,4224,103,0.024,0.048,-0.668,0.002,0.02,0.029
3,user-assigns-personhood,user-expresses-isolation,22046,268,0.012,0.016,0.754,0.251,11023,267,0.024,0.048,-0.675,0.001,0.021,0.027
3,user-suicidal-intent,user-theme-awakening-consciousness,1332,31,0.023,0.032,0.726,0.242,666,31,0.047,0.093,-0.691,0.008,0.031,0.063
3,user-mental-health-diagnosis,user-misconstrues-sentience,1752,30,0.017,0.024,0.717,0.239,876,29,0.033,0.07,-0.745,0.006,0.021,0.045
3,user-endorses-delusion,user-romantic-interest,39778,2205,0.055,0.079,0.705,0.235,19889,2190,0.11,0.218,-0.683,0.002,0.106,0.114
3,user-romantic-interest,user-endorses-delusion,27848,2176,0.078,0.112,0.695,0.232,13924,2163,0.155,0.301,-0.66,0.003,0.149,0.161
3,user-suicidal-intent,user-misconstrues-sentience,1332,21,0.016,0.024,0.661,0.22,666,21,0.032,0.07,-0.793,0.007,0.018,0.045
3,user-suicidal-intent,user-assigns-personhood,1332,51,0.038,0.062,0.615,0.205,666,51,0.077,0.175,-0.825,0.01,0.057,0.097
3,user-misconstrues-sentience,user-suicidal-intent,8448,19,0.002,0.004,0.596,0.199,4224,19,0.005,0.011,-0.918,0.001,0.002,0.007
3,user-theme-awakening-consciousness,user-suicidal-intent,11350,25,0.002,0.004,0.584,0.195,5675,25,0.004,0.011,-0.939,0.001,0.003,0.006
3,user-assigns-personhood,user-suicidal-intent,22046,48,0.002,0.004,0.577,0.192,11023,48,0.004,0.011,-0.951,0.001,0.003,0.006
3,user-expresses-isolation,user-romantic-interest,5704,254,0.045,0.079,0.566,0.189,2852,252,0.088,0.218,-0.902,0.005,0.078,0.099
3,user-romantic-interest,user-expresses-isolation,27848,251,0.009,0.016,0.559,0.186,13924,250,0.018,0.048,-0.974,0.001,0.016,0.02
3,not:user-romantic-interest,user-mental-health-diagnosis,326034,849,0.003,0.005,0.525,0.175,163017,849,0.005,0.015,-1.045,0.0,0.005,0.006
3,not:user-platonic-affinity,user-violent-intent,345664,575,0.002,0.003,0.516,0.172,172832,562,0.003,0.01,-1.087,0.0,0.003,0.004
3,not:user-mental-health-diagnosis,user-violent-intent,352130,584,0.002,0.003,0.514,0.171,176065,570,0.003,0.01,-1.091,0.0,0.003,0.004
3,not:user-mental-health-diagnosis,user-assigns-personhood,352130,11000,0.031,0.062,0.502,0.167,176065,10918,0.062,0.175,-1.039,0.001,0.061,0.063
3,not:user-endorses-delusion,user-mental-health-diagnosis,314104,783,0.002,0.005,0.502,0.167,157052,783,0.005,0.015,-1.089,0.0,0.005,0.005
3,not:user-suicidal-intent,user-violent-intent,352550,571,0.002,0.003,0.502,0.167,176275,557,0.003,0.01,-1.116,0.0,0.003,0.003
3,not:user-suicidal-intent,user-assigns-personhood,352550,10988,0.031,0.062,0.501,0.167,176275,10905,0.062,0.175,-1.042,0.001,0.061,0.063
3,not:user-mental-health-diagnosis,user-romantic-interest,352130,13844,0.039,0.079,0.5,0.167,176065,13764,0.078,0.218,-1.025,0.001,0.077,0.079
3,not:user-violent-intent,user-assigns-personhood,352742,10969,0.031,0.062,0.5,0.167,176371,10891,0.062,0.175,-1.044,0.001,0.061,0.063
3,not:user-assigns-personhood,user-mental-health-diagnosis,331836,824,0.002,0.005,0.5,0.167,165918,824,0.005,0.015,-1.093,0.0,0.005,0.005
3,not:user-romantic-interest,user-suicidal-intent,326034,615,0.002,0.004,0.5,0.167,163017,614,0.004,0.011,-1.096,0.0,0.003,0.004
3,not:user-misconstrues-sentience,user-violent-intent,345434,556,0.002,0.003,0.499,0.166,172717,542,0.003,0.01,-1.122,0.0,0.003,0.003
3,not:user-suicidal-intent,user-romantic-interest,352550,13815,0.039,0.079,0.498,0.166,176275,13735,0.078,0.218,-1.029,0.001,0.077,0.079
3,not:user-suicidal-intent,user-misconstrues-sentience,352550,4189,0.012,0.024,0.498,0.166,176275,4179,0.024,0.07,-1.081,0.0,0.023,0.024
3,not:user-expresses-isolation,user-violent-intent,348178,559,0.002,0.003,0.498,0.166,174089,545,0.003,0.01,-1.125,0.0,0.003,0.003
3,not:user-mental-health-diagnosis,user-endorses-delusion,352130,19654,0.056,0.112,0.497,0.166,176065,19530,0.111,0.301,-0.997,0.001,0.109,0.112
3,not:user-mental-health-diagnosis,user-misconstrues-sentience,352130,4180,0.012,0.024,0.497,0.166,176065,4171,0.024,0.07,-1.082,0.0,0.023,0.024
