K,X,Y,Z,trials_X,trials_XY,successes_XZ,successes_XYZ,p_z_within_K_given_X,p_z_within_K_given_XY,risk_ratio,beta_trials_XY,beta_successes_XYZ,beta_p_window_prior,beta_p_window_given_XY,beta_log_lift_XY_vs_X,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high,messages_with_z,total_scoped_z,p_z_anywhere
5,not:user-assigns-personhood,user-assigns-personhood,user-assigns-personhood,165918,14013,14013,14013,0.084,1.0,11.84,14013,14013,0.084,1.0,2.471,0.0,1.0,1.0,11024,177101,0.062
5,not:user-assigns-personhood,user-assigns-personhood,user-endorses-delusion,165918,14013,26752,6972,0.161,0.498,3.086,14013,6972,0.161,0.497,1.127,0.004,0.489,0.506,19904,177101,0.112
5,not:user-assigns-personhood,user-assigns-personhood,user-expresses-isolation,165918,14013,4468,894,0.027,0.064,2.369,14013,894,0.027,0.064,0.862,0.002,0.06,0.068,2854,177101,0.016
5,not:user-assigns-personhood,user-assigns-personhood,user-mental-health-diagnosis,165918,14013,1477,91,0.009,0.006,0.729,14013,91,0.009,0.006,-0.315,0.001,0.005,0.008,879,177101,0.005
5,not:user-assigns-personhood,user-assigns-personhood,user-misconstrues-sentience,165918,14013,5550,3909,0.033,0.279,8.339,14013,3909,0.033,0.279,2.121,0.004,0.271,0.286,4227,177101,0.024
5,not:user-assigns-personhood,user-assigns-personhood,user-platonic-affinity,165918,14013,5983,2895,0.036,0.207,5.729,14013,2895,0.036,0.207,1.745,0.003,0.2,0.213,4113,177101,0.023
5,not:user-assigns-personhood,user-assigns-personhood,user-romantic-interest,165918,14013,17848,4970,0.108,0.355,3.297,14013,4970,0.108,0.355,1.193,0.004,0.347,0.363,13934,177101,0.079
5,not:user-assigns-personhood,user-assigns-personhood,user-suicidal-intent,165918,14013,1143,113,0.007,0.008,1.171,14013,113,0.007,0.008,0.157,0.001,0.007,0.01,668,177101,0.004
5,not:user-assigns-personhood,user-assigns-personhood,user-theme-awakening-consciousness,165918,14013,7679,2988,0.046,0.213,4.607,14013,2988,0.046,0.213,1.528,0.003,0.206,0.22,5679,177101,0.032
5,not:user-assigns-personhood,user-assigns-personhood,user-violent-intent,165918,14013,925,190,0.006,0.014,2.432,14013,190,0.006,0.014,0.889,0.001,0.012,0.015,571,177101,0.003
5,not:user-assigns-personhood,user-endorses-delusion,user-assigns-personhood,165918,26752,14013,6972,0.084,0.261,3.086,26752,6972,0.084,0.261,1.127,0.003,0.255,0.266,11024,177101,0.062
5,not:user-assigns-personhood,user-endorses-delusion,user-endorses-delusion,165918,26752,26752,26752,0.161,1.0,6.202,26752,26752,0.161,1.0,1.825,0.0,1.0,1.0,19904,177101,0.112
5,not:user-assigns-personhood,user-endorses-delusion,user-expresses-isolation,165918,26752,4468,1399,0.027,0.052,1.942,26752,1399,0.027,0.052,0.664,0.001,0.05,0.055,2854,177101,0.016
5,not:user-assigns-personhood,user-endorses-delusion,user-mental-health-diagnosis,165918,26752,1477,285,0.009,0.011,1.197,26752,285,0.009,0.011,0.18,0.001,0.009,0.012,879,177101,0.005
5,not:user-assigns-personhood,user-endorses-delusion,user-misconstrues-sentience,165918,26752,5550,2953,0.033,0.11,3.3,26752,2953,0.033,0.11,1.194,0.002,0.107,0.114,4227,177101,0.024
5,not:user-assigns-personhood,user-endorses-delusion,user-platonic-affinity,165918,26752,5983,2505,0.036,0.094,2.597,26752,2505,0.036,0.094,0.954,0.002,0.09,0.097,4113,177101,0.023
5,not:user-assigns-personhood,user-endorses-delusion,user-romantic-interest,165918,26752,17848,4341,0.108,0.162,1.508,26752,4341,0.108,0.162,0.411,0.002,0.158,0.167,13934,177101,0.079
5,not:user-assigns-personhood,user-endorses-delusion,user-suicidal-intent,165918,26752,1143,336,0.007,0.013,1.823,26752,336,0.007,0.013,0.601,0.001,0.011,0.014,668,177101,0.004
5,not:user-assigns-personhood,user-endorses-delusion,user-theme-awakening-consciousness,165918,26752,7679,4388,0.046,0.164,3.544,26752,4388,0.046,0.164,1.265,0.002,0.16,0.168,5679,177101,0.032
5,not:user-assigns-personhood,user-endorses-delusion,user-violent-intent,165918,26752,925,408,0.006,0.015,2.736,26752,408,0.006,0.015,1.006,0.001,0.014,0.017,571,177101,0.003
5,not:user-assigns-personhood,user-expresses-isolation,user-assigns-personhood,165918,4468,14013,894,0.084,0.2,2.369,4468,894,0.084,0.2,0.862,0.006,0.188,0.212,11024,177101,0.062
5,not:user-assigns-personhood,user-expresses-isolation,user-endorses-delusion,165918,4468,26752,1399,0.161,0.313,1.942,4468,1399,0.161,0.313,0.663,0.007,0.299,0.327,19904,177101,0.112
5,not:user-assigns-personhood,user-expresses-isolation,user-expresses-isolation,165918,4468,4468,4468,0.027,1.0,37.135,4468,4468,0.027,1.0,3.614,0.0,0.999,1.0,2854,177101,0.016
5,not:user-assigns-personhood,user-expresses-isolation,user-mental-health-diagnosis,165918,4468,1477,378,0.009,0.085,9.504,4468,378,0.009,0.085,2.251,0.004,0.076,0.093,879,177101,0.005
5,not:user-assigns-personhood,user-expresses-isolation,user-misconstrues-sentience,165918,4468,5550,288,0.033,0.064,1.927,4468,288,0.033,0.064,0.656,0.004,0.057,0.072,4227,177101,0.024
5,not:user-assigns-personhood,user-expresses-isolation,user-platonic-affinity,165918,4468,5983,480,0.036,0.107,2.979,4468,480,0.036,0.107,1.091,0.005,0.098,0.116,4113,177101,0.023
